"strategy_id","folder","asset_key","phase","trades","overall_pf","total_r","max_drawdown_r","min_half_pf","min_quarter_pf","rolling20_pf_p25","bootstrap_pf_p05","block_bootstrap_pf_p05","annual_windows","annual_pass_rate","worst_annual_pf","min_planned_rr","status","failed_checks"
"competition_euro_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bb944c86","competition_euro_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bb944c86","euro_futures","competition_session_edge","111","2.388781","60.827527","9.789741","1.773605","0.256257","1.104079","1.528092","1.390127","5","0.800000","0.403002","4.629670","watch","quarter_pf_gt_1"
"competition_gbp_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_7404d31a","competition_gbp_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_7404d31a","gbp_jpy","competition_session_edge","91","2.205858","79.414602","17.171808","2.173664","0.750153","1.256130","1.428755","1.307939","5","0.800000","0.948406","4.768485","watch","quarter_pf_gt_1"
"competition_gbp_jpy_us_first30_last30_momentum_signalweekdayside_xasset_rr_5_ca81da70","competition_gbp_jpy_us_first30_last30_momentum_signalweekdayside_xasset_rr_5_ca81da70","gbp_jpy","competition_session_edge","63","2.246126","7.997849","1.688235","1.372134","0.661851","1.719903","1.244089","1.348523","4","1.000000","1.008973","4.851092","watch","quarter_pf_gt_1"
"competition_gbp_jpy_us_first30_last30_momentum_signalweekdayside_xasset_rr_5_f7a5d16b","competition_gbp_jpy_us_first30_last30_momentum_signalweekdayside_xasset_rr_5_f7a5d16b","gbp_jpy","competition_session_edge","68","2.151327","8.940601","3.298577","1.600023","0.833720","2.713943","1.241213","1.116288","5","0.800000","0.589656","4.802148","watch","quarter_pf_gt_1"
"competition_gbp_usd_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_f45ed345","competition_gbp_usd_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_f45ed345","gbp_usd","competition_session_edge","43","2.980146","10.283123","1.676771","2.748108","0.476468","1.077651","1.430027","0.934500","4","1.000000","1.342427","4.739264","watch","quarter_pf_gt_1"
"competition_japanese_yen_futures_london_first30_last30_reversal_month_12_xasset_rr_5_2c93eb53","competition_japanese_yen_futures_london_first30_last30_reversal_month_12_xasset_rr_5_2c93eb53","japanese_yen_futures","competition_session_edge","30","3.864724","8.382925","1.026003","3.299316","0.876865","4.276423","1.545794","2.456528","3","1.000000","1.683862","4.680615","watch","quarter_pf_gt_1"
"competition_micro_bitcoin_futures_london_first30_last30_momentum_weekday_side_4_long_xasset_rr_5_ef127c35","competition_micro_bitcoin_futures_london_first30_last30_momentum_weekday_side_4_long_xasset_rr_5_ef127c35","micro_bitcoin_futures","competition_session_edge","49","2.430124","22.595973","5.725141","1.146098","0.913294","1.470102","1.366906","1.365322","4","0.750000","0.899272","4.757515","watch","quarter_pf_gt_1"
"competition_nasdaq_100_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_745a2103","competition_nasdaq_100_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_745a2103","nasdaq_100_futures","competition_session_edge","124","2.114537","90.873003","22.403421","1.872054","0.448012","1.035366","1.415144","1.372251","5","0.800000","0.651239","4.964180","watch","quarter_pf_gt_1"
"competition_new_zealand_dollar_futures_us_first30_last30_reversal_month_10_xasset_rr_5_a08c7f75","competition_new_zealand_dollar_futures_us_first30_last30_reversal_month_10_xasset_rr_5_a08c7f75","new_zealand_dollar_futures","competition_session_edge","61","2.419502","11.272557","3.194456","1.511152","0.950982","1.229162","1.276733","1.010984","4","0.750000","0.393209","4.716423","watch","quarter_pf_gt_1"
"competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_c253325c","competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_c253325c","new_zealand_dollar_futures","competition_session_edge","61","2.419502","11.272557","3.194456","1.511152","0.950982","1.229162","1.352363","1.045233","4","0.750000","0.393209","4.716423","watch","quarter_pf_gt_1"
"competition_nzd_usd_ny_open_gap_fade_signalmonth_xasset_rr_5_f7877338","competition_nzd_usd_ny_open_gap_fade_signalmonth_xasset_rr_5_f7877338","nzd_usd","competition_session_edge","67","2.523197","42.512687","9.327068","1.910242","0.701263","2.047303","1.581924","1.376037","4","0.750000","0.775479","4.485028","watch","quarter_pf_gt_1"
"competition_nzd_usd_us_first30_last30_reversal_month_10_xasset_rr_5_355aaacd","competition_nzd_usd_us_first30_last30_reversal_month_10_xasset_rr_5_355aaacd","nzd_usd","competition_session_edge","62","2.281818","10.582489","3.320205","0.828193","0.428887","0.749017","1.274652","1.069666","4","0.750000","0.371206","4.303387","watch","half_pf_gt_1,quarter_pf_gt_1,rolling_pf_p25_gt_1"
"competition_nzd_usd_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_ea2fcb2e","competition_nzd_usd_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_ea2fcb2e","nzd_usd","competition_session_edge","47","3.219501","11.908084","2.787386","1.292135","0.860365","0.990899","1.648058","1.164782","4","0.750000","0.395659","4.303387","watch","quarter_pf_gt_1,rolling_pf_p25_gt_1"
"competition_nzd_usd_us_first30_last30_reversal_signalmonth_xasset_rr_5_1f98d0ed","competition_nzd_usd_us_first30_last30_reversal_signalmonth_xasset_rr_5_1f98d0ed","nzd_usd","competition_session_edge","62","2.281818","10.582489","3.320205","0.828193","0.428887","0.749017","1.288805","1.094706","4","0.750000","0.371206","4.303387","watch","half_pf_gt_1,quarter_pf_gt_1,rolling_pf_p25_gt_1"
"competition_sp_500_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_4a15c5b1","competition_sp_500_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_4a15c5b1","sp_500_futures","competition_session_edge","134","2.420733","125.245190","13.136676","1.922088","0.899002","1.690737","1.703265","1.769095","5","0.800000","0.700507","4.884098","watch","quarter_pf_gt_1"
"competition_us_treasury_2y_note_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_d7f98df1","competition_us_treasury_2y_note_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_d7f98df1","us_treasury_2y_note_futures","competition_session_edge","37","2.896427","7.872522","1.750542","1.269100","0.534749","1.677984","1.405790","1.164141","4","0.750000","0.628925","4.475019","watch","quarter_pf_gt_1"
"competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_359a639b","competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_359a639b","usd_jpy","competition_session_edge","130","2.224065","107.886414","12.881715","2.116883","0.903089","1.683733","1.598473","1.577026","5","1.000000","1.082189","4.463119","watch","quarter_pf_gt_1"
"competition_usd_jpy_london_first30_ny_open_reversal_month_8_xasset_rr_5_6fd8c7ff","competition_usd_jpy_london_first30_ny_open_reversal_month_8_xasset_rr_5_6fd8c7ff","usd_jpy","competition_session_edge","30","2.415741","22.766376","6.007497","1.077410","0.010299","2.104102","1.150106","1.233765","4","0.750000","0.872769","4.781911","watch","quarter_pf_gt_1"
