status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,us_treasury_5y_note_futures,ZF,competition_session_edge,best,True,5,1m,125,1.801945,125,28.026416,2.104107,125,45.600000,66.320744,0.530566,11.433400,2.015692,1.866254,1.561837,1.505876,1.381936,5,1.000000,1.777414,4.285793,sl:45;sl_gap:12;time_exit:59;tp:7;tp_gap:2,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,gold_futures,GC,competition_session_edge,best,False,4,1m,90,2.096973,90,21.519755,2.080316,90,53.333333,37.355970,0.415066,6.438461,1.890475,1.652065,1.742106,1.305445,1.345795,5,1.000000,1.037323,3.901086,sl:25;sl_gap:7;time_exit:50;tp:4;tp_gap:4,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,us_treasury_2y_note_futures,ZT,competition_session_edge,best,True,5,1m,127,2.005614,127,34.255710,2.043816,127,43.307087,64.689930,0.509370,8.696131,1.857974,1.707614,1.419809,1.459789,1.440598,5,1.000000,1.536742,4.132552,sl:42;sl_gap:18;time_exit:59;tp:7;tp_gap:1,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,us_treasury_5y_note_futures,ZF,competition_session_edge,best,True,4,1m,125,1.801945,125,28.026416,2.024634,125,45.600000,61.547029,0.492376,11.433400,1.907235,1.767297,1.403576,1.445530,1.335290,5,1.000000,1.503598,3.428634,sl:45;sl_gap:12;time_exit:53;tp:12;tp_gap:3,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,best,False,4,,54,3.048176,56,8.538637,3.619594,56,60.714286,10.920819,0.195015,1.169195,2.179564,1.955240,2.165676,1.788973,2.424117,4,1.000000,1.522226,3.874977,sl:1;time_exit:54;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,best,False,3,,54,3.048176,56,8.538637,3.381503,56,60.714286,9.928243,0.177290,1.169195,2.179564,1.955240,2.165676,1.719974,2.299261,4,1.000000,1.522226,2.906232,sl:1;time_exit:54;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,best,False,5,,54,3.048176,56,8.538637,3.048176,56,60.714286,8.538637,0.152476,1.169195,2.179564,1.955240,2.165676,1.635626,2.226061,4,1.000000,1.522226,4.843721,sl:1;time_exit:55,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,british_pound_futures,6B,competition_session_edge,best,False,4,1m,39,2.782680,39,8.878714,2.782680,39,58.974359,8.878714,0.227659,0.973474,2.665830,0.945222,1.433781,1.186667,1.208104,4,1.000000,1.714552,3.694639,sl:1;time_exit:37;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,british_pound_futures,6B,competition_session_edge,best,False,5,1m,39,2.782680,39,8.878714,2.782680,39,58.974359,8.878714,0.227659,0.973474,2.665830,0.945222,1.433781,1.183871,1.242375,4,1.000000,1.714552,4.618299,sl:1;time_exit:38,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,best,True,3,,44,2.346937,45,9.062682,2.741556,45,55.555556,11.717824,0.260396,1.931834,1.578979,1.242599,1.946129,1.496876,1.504775,4,1.000000,1.433010,2.504493,sl:1;time_exit:43;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
