rank,strategy_id,asset_key,label,forward_pf,trades,train_pf,train_trades,verification
1,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_4eee8ecb,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,2.294778,87,1.883087,35,High-PF strict replay: forward PF 2.29 over 87 trades; train PF 1.88 over 35; quarter PF 1.26; bootstrap p05 1.43; block-bootstrap p05 1.27; annual pass 100%.
2,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_5322bb1f,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,2.054426,115,1.676324,47,High-PF strict replay: forward PF 2.05 over 115 trades; train PF 1.68 over 47; quarter PF 1.24; bootstrap p05 1.34; block-bootstrap p05 1.37; annual pass 100%.
3,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_61184239,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,2.054426,115,1.741777,46,High-PF strict replay: forward PF 2.05 over 115 trades; train PF 1.74 over 46; quarter PF 1.24; bootstrap p05 1.30; block-bootstrap p05 1.36; annual pass 100%.
4,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_f28a94ed,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,2.045998,111,1.76103,42,High-PF strict replay: forward PF 2.05 over 111 trades; train PF 1.76 over 42; quarter PF 1.07; bootstrap p05 1.28; block-bootstrap p05 1.25; annual pass 100%.
5,gold_futures_tori_trades_trendline_break_retest,gold_futures,Gold Futures Tori Trendline Break Retest,2.715948,63,,0,Stress PF 2.72 over 63 trades; quarter PF floor 1.24; bootstrap p05 1.72; block-bootstrap p05 1.71; annual pass 80%.
