status,strategy_id,asset_key,forward_pf,forward_trades,avg_rr,min_rr,train_pf,train_trades,bootstrap_p05,block_bootstrap_p05,annual_pass_rate,variant_id
applied,competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070,canadian_dollar_futures,2.332327,98,5.015800,4.304925,1.149118,298,1.537211,1.679514,0.800000,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|risk_reward=5|managed_exit=bracket
applied,competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea,australian_dollar_futures,2.347749,96,5.016106,4.686990,0.613413,288,1.607407,1.503500,0.800000,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|risk_reward=5|managed_exit=bracket
applied,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,dow_jones_futures,2.355606,90,3.999130,3.961760,0.959713,193,1.519410,1.602314,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=4|managed_exit=bracket
applied,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,british_pound_futures,2.451348,57,5.016248,4.618299,1.118260,151,1.262121,1.540365,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=10|signal_start=570|risk_reward=5|managed_exit=bracket
applied,competition_nasdaq_100_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_745a2103,nasdaq_100_futures,2.114537,124,5.000048,4.964180,0.923635,361,1.453202,1.437562,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=momentum|entry=945|exit=570|lookback=3|signal_weekday_side=1_long|risk_reward=5|managed_exit=bracket
applied,competition_new_zealand_dollar_futures_us_first30_last30_reversal_month_10_xasset_rr_5_a08c7f75,new_zealand_dollar_futures,2.419502,61,5.012960,4.716423,0.990636,29,1.317879,1.189724,0.750000,competition_session_edge|family=us_first30_last30_reversal_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket
applied,competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_c253325c,new_zealand_dollar_futures,2.419502,61,5.012960,4.716423,0.990636,29,1.308827,1.215253,0.750000,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=10|signal_start=570|risk_reward=5|managed_exit=bracket
applied,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,silver_futures,2.409941,63,4.984812,4.831919,0.997629,186,1.191103,1.452586,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_month=12|signal_start=570|risk_reward=5|managed_exit=bracket
applied,competition_copper_futures_daily_tsmom_next_overnight_signalweekdayside_weekday_side_xasset_rr_5_77bdb3ad,copper_futures,2.165068,96,5.004927,4.756794,0.923221,293,1.459959,1.470754,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=5|managed_exit=bracket
applied,competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876,new_zealand_dollar_futures,2.115785,99,4.987699,4.657731,1.156630,44,1.378493,1.301552,0.600000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
applied,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,us_treasury_10y_note_futures,2.161728,90,4.972138,4.022705,1.044033,310,1.367583,1.322253,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
applied,competition_micro_bitcoin_futures_london_first30_last30_momentum_weekday_side_4_long_xasset_rr_5_ef127c35,micro_bitcoin_futures,2.430124,49,4.994702,4.757515,0.635242,12,1.316204,1.326305,0.750000,competition_session_edge|family=london_first30_last30_momentum_weekday_side_4_long|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=4_long|risk_reward=5|managed_exit=bracket
applied,competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9,canadian_dollar_futures,2.358774,46,5.002786,4.622251,0.884721,75,1.259749,1.470158,1.000000,competition_session_edge|family=us_first30_last30_momentum_signalmonth_month_3|direction=same|entry=930|exit=945|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=3|risk_reward=5|managed_exit=bracket
applied,competition_crude_oil_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_2b380d8e,crude_oil_futures,2.093834,82,4.995119,4.859624,1.039334,190,1.315125,1.055309,1.000000,competition_session_edge|family=us_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=0_long|risk_reward=5|managed_exit=bracket
