status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,opposite,True,3,1m,44,2.346937,45,9.062682,2.722367,44,54.545455,11.588717,0.263380,2.060941,1.543260,1.168397,1.905784,1.437728,1.380753,4,1.000000,1.433010,2.504493,sl:1;time_exit:42;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,opposite,True,2.5,1m,44,2.346937,45,9.062682,2.656598,44,54.545455,11.146194,0.253323,2.060941,1.543260,1.168397,1.905784,1.420431,1.387585,4,1.000000,1.433010,2.087077,sl:1;time_exit:42;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,direct,False,2.5,1m,34,2.032219,58,18.906985,2.547391,34,47.058824,12.556966,0.369323,2.253348,1.772711,1.516458,1.576619,1.211605,1.412423,2,1.000000,1.747498,2.444718,sl:13;sl_gap:2;time_exit:14;tp:5,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,direct,False,3,1m,34,2.032219,58,18.906985,2.534404,34,47.058824,12.451576,0.366223,2.253348,1.793297,1.542950,1.588234,1.146392,1.296539,2,1.000000,1.769456,2.938246,sl:13;sl_gap:2;time_exit:16;tp:3,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,canadian_dollar_futures,6C,competition_session_edge,direct,False,3,1m,99,2.332327,98,72.220340,2.348590,99,46.464646,70.543363,0.712559,5.247449,2.217085,1.138280,1.698903,1.623189,1.724483,5,0.800000,0.436272,2.582955,sl:46;sl_gap:6;time_exit:9;tp:35;tp_gap:3,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,opposite,True,4,1m,44,2.346937,45,9.062682,2.327748,44,52.272727,8.933575,0.203036,2.060941,1.543260,1.168397,1.905784,1.196158,1.328253,4,1.000000,1.433010,3.339324,sl:1;time_exit:43,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,opposite,True,5,1m,44,2.346937,45,9.062682,2.327748,44,52.272727,8.933575,0.203036,2.060941,1.543260,1.168397,1.905784,1.200118,1.276891,4,1.000000,1.433010,4.174154,sl:1;time_exit:43,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,direct,False,2.5,1m,98,2.371486,95,58.822147,2.298367,98,53.061224,55.927476,0.570689,6.155778,1.796342,1.541733,2.220424,1.621709,1.715972,5,0.800000,0.478268,2.054068,sl:37;sl_gap:5;time_exit:26;tp:27;tp_gap:3,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,dow_jones_futures,YM,competition_session_edge,opposite,True,5,1m,108,1.422425,106,12.958608,2.285772,108,54.629630,50.029888,0.463240,5.629928,1.525223,1.108419,1.001740,1.523426,1.303865,5,0.800000,0.943394,4.949469,sl:22;sl_gap:9;time_exit:70;tp:6;tp_gap:1,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_eur_chf_ny_open_gap_fade_month_9_5044d21c,eur_chf,micro_ether_futures,MET,competition_session_edge,opposite,True,3,1m,36,1.754756,49,10.979029,2.278757,36,50.000000,22.426501,0.622958,4.584201,1.680680,1.408007,2.226334,1.258943,1.170179,3,1.000000,1.684830,2.889234,sl:12;sl_gap:5;time_exit:7;tp:11;tp_gap:1,competition_session_edge|family=ny_open_gap_fade_month_9|direction=fade|entry=570|exit=660|min_gap_atr=0.25|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,direct,False,5,1m,98,2.371486,95,58.822147,2.259492,98,48.979592,56.696303,0.578534,6.155778,1.778452,1.437507,2.260997,1.530053,1.585101,5,0.800000,0.478268,4.401573,sl:38;sl_gap:5;time_exit:49;tp:6,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,direct,False,3,1m,98,2.371486,95,58.822147,2.231192,98,52.040816,53.221471,0.543076,6.155778,1.854732,1.526230,2.165136,1.529338,1.558310,5,0.800000,0.478268,2.640944,sl:37;sl_gap:5;time_exit:37;tp:19,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,canadian_dollar_futures,6C,competition_session_edge,direct,False,2.5,1m,99,2.332327,98,72.220340,2.224312,99,48.484848,61.585249,0.622073,5.247449,2.094365,1.097867,1.774541,1.635826,1.592352,5,0.800000,0.363560,2.201521,sl:44;sl_gap:6;time_exit:6;tp:40;tp_gap:3,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,dow_jones_futures,YM,competition_session_edge,opposite,True,4,1m,108,1.422425,106,12.958608,2.203788,108,54.629630,46.839849,0.433702,5.629928,1.474481,1.108419,1.077521,1.484247,1.293365,5,0.800000,0.943394,3.959575,sl:22;sl_gap:9;time_exit:67;tp:8;tp_gap:2,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
