strategy_id,asset_key,asset_name,market,symbol,phase,variant_id,side,signal_time,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,source,tp_mode,sl_mode,size_mode,size_multiplier
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2024-12-13T14:45:00Z,340233,340235,2024-12-13T15:00:00Z,2024-12-13T15:30:00Z,21880.5,21786,378,3,378,126,0,tp,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2024-12-18T14:00:00Z,340506,340509,2024-12-18T14:15:00Z,2024-12-18T15:00:00Z,21972.5,22008.5,-144,-1,432,144,0,sl,4,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.25
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-01-15T13:45:00Z,342116,342119,2025-01-15T14:00:00Z,2025-01-15T14:45:00Z,21281.5,21333,-206,-1,618,206,0,sl,4,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-02-06T14:45:00Z,343576,343576,2025-02-06T15:00:00Z,2025-02-06T15:00:00Z,21789.5,21827.75,-153,-1,459,153,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-02-11T14:45:00Z,343852,343852,2025-02-11T15:00:00Z,2025-02-11T15:00:00Z,21777.5,21810,-130,-1,390,130,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.75
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-05-21T14:15:00Z,350278,350279,2025-05-21T14:30:00Z,2025-05-21T14:45:00Z,21383.75,21417.5,-135,-1,405,135,0,sl,2,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-06-24T13:15:00Z,352450,352450,2025-06-24T13:30:00Z,2025-06-24T13:30:00Z,22286.25,22315,-115,-1,345,115,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,5.25
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-09-01T14:00:00Z,356930,356934,2025-09-01T14:15:00Z,2025-09-01T15:15:00Z,23486.25,23504,-71,-1,213,71,0,sl,5,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,8.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-09-18T14:30:00Z,358112,358114,2025-09-18T14:45:00Z,2025-09-18T15:15:00Z,24760,24813.25,-213,-1,639,213,0,sl,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-10-13T14:00:00Z,359674,359676,2025-10-13T14:15:00Z,2025-10-13T14:45:00Z,24884,24783.5,402,3,402,134,0,tp,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-11-04T16:00:00Z,361150,361154,2025-11-04T16:15:00Z,2025-11-04T17:15:00Z,25783,25651.75,525,3,525,175,0,tp,5,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2025-11-19T13:30:00Z,362152,362155,2025-11-19T13:45:00Z,2025-11-19T14:30:00Z,24670.5,24711,-162,-1,486,162,0,sl,4,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.75
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2026-02-26T13:45:00Z,368380,368382,2026-02-26T14:00:00Z,2026-02-26T14:30:00Z,25383,25274.25,435,3,435,145,0,tp,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.25
