phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol,exclude,reason
mean_reversion,326,68.40490797546013,1.045741420743542,69,55,14,79.71014492753623,79.54864154250657,70.16644857147429,0.6939353796235759,-0.7860885537602789,0.0947612371605962,0.6633286601241738,61,1.1311475409836065,47,1.4680851063829787,forex,NZDUSD,True,PF<1 avg<=0 
mean_reversion,258,62.4031007751938,0.94349655598332,44,26,18,59.09090909090909,59.164513350559865,44.95998978472067,0.4513930075227053,-1.3359625154833743,0.0610987357884687,0.4276911505192814,40,1.1,34,1.2941176470588236,forex,USDCAD,True,PF<1 avg<=0 
mean_reversion,294,64.96598639455783,0.8701205100869287,50,35,15,70.0,69.90129385087369,57.4340366164525,0.8730999024757771,-0.2807876865482422,0.0694534878673438,0.4861744150714068,47,1.0638297872340423,41,1.2195121951219512,futures,6C,True,PF<1 avg<=0 
mean_reversion,307,70.03257328990227,1.0269565309663653,45,34,11,75.55555555555556,75.43549072369353,63.12858004265913,0.7962867145298319,-0.4358139485917531,0.0618698441796516,0.4330889092575618,41,1.0975609756097562,35,1.2857142857142858,futures,CL,True,PF<1 avg<=0 
mean_reversion,281,70.46263345195729,0.7834796910290422,46,36,10,78.26086956521739,78.09494964791399,66.39405537428529,0.6645261799283637,-0.866663152920477,0.0632701014384778,0.442890710069345,41,1.1219512195121952,32,1.4375,futures,GC,True,PF<1 avg<=0 
mean_reversion,305,72.45901639344262,0.9173292656529426,44,37,7,84.0909090909091,83.83242258652095,73.1933042775029,0.6955174535808883,-0.8302244751591492,0.0603566529492455,0.4224965706447188,37,1.1891891891891893,31,1.4193548387096775,futures,HG,True,PF<1 avg<=0 
mean_reversion,280,73.21428571428571,0.9811312534335564,39,32,7,82.05128205128204,81.83035714285714,70.02729858539095,0.6111149987078571,-1.518519178169393,0.0546657127421921,0.3826599891953452,34,1.1470588235294117,31,1.2580645161290325,futures,NG,True,PF<1 avg<=0 
mean_reversion,305,71.47540983606558,1.1067516993261848,37,33,4,89.1891891891892,88.7230371009491,78.79557943931005,0.6234065204512047,-1.2566243670279946,0.050790019303639,0.3555301351254736,35,1.0571428571428572,32,1.15625,futures,RTY,True,PF<1 avg<=0 
momentum,471,69.85138004246284,1.2834590546508269,92,71,21,77.17391304347827,77.09517612948885,68.60006185436626,0.9472424811357216,-0.1034366717998743,0.1262309374419369,0.8836165620935584,84,1.0952380952380951,62,1.4838709677419355,forex,GBPUSD,True,PF<1 avg<=0 
momentum,483,69.35817805383023,1.1069731297303746,96,76,20,79.16666666666666,79.06554822735907,71.01051246550624,0.9599074652288274,-0.0829263404998199,0.1319058796587851,0.923341157611496,87,1.103448275862069,61,1.5737704918032789,forex,NZDUSD,True,PF<1 avg<=0 
momentum,377,67.63925729442971,0.9669646492471105,70,54,16,77.14285714285715,77.0090036238652,67.2896032656884,0.78556282610991,-0.5546032331773724,0.0960631271978728,0.6724418903851102,64,1.09375,51,1.3725490196078431,forex,USDJPY,True,PF<1 avg<=0 
momentum,448,72.09821428571429,1.2254207906893049,98,80,18,81.63265306122449,81.5363455988456,73.93149784604509,0.7774214031443023,-0.5654724898731046,0.1342025305621728,0.9394177139352096,86,1.1395348837209305,56,1.75,futures,6B,True,PF<1 avg<=0 
momentum,375,68.0,0.8601149692308451,79,63,16,79.74683544303798,79.60000000000001,70.82423107093764,0.979081531891552,-0.0450862592133994,0.1089921388844976,0.7629449721914836,72,1.0972222222222223,52,1.5192307692307692,futures,6E,True,PF<1 avg<=0 
momentum,358,67.87709497206704,0.7402942187095936,74,54,20,72.97297297297297,72.90502793296089,62.91256906204274,0.443242405060459,-2.318544704446567,0.1017823370966817,0.7124763596767724,70,1.0571428571428572,56,1.3214285714285714,futures,GC,True,PF<1 avg<=0 
momentum,389,66.32390745501286,0.7953874090808358,84,62,22,73.80952380952381,73.72145773476485,64.41885579267877,0.9394782914789136,-0.1181721838873699,0.1151868357901954,0.8063078505313678,72,1.1666666666666667,57,1.4736842105263157,futures,HG,True,PF<1 avg<=0 
momentum,361,67.86703601108033,0.7379736213936084,55,37,18,67.27272727272727,67.28333992876928,55.103070496855445,0.5828177958501719,-1.783863254862692,0.0753016343877463,0.5271114407142246,53,1.0377358490566038,43,1.2790697674418603,futures,NG,True,PF<1 avg<=0 
momentum,418,72.96650717703349,1.1298865997422007,93,78,15,83.87096774193549,83.75496284230888,76.33742281834951,0.7918571276899949,-0.5832769223362063,0.1275756623131662,0.8930296361921637,84,1.1071428571428572,60,1.55,gold_spot,XAUUSD,True,PF<1 avg<=0 
