market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,2.0,6,2.0,-0.05,0.15,91,71,20,78.02197802197803,1.7125188047966413,4.216853846153818
forex,AUDUSD,mean_reversion,0.0001,2.0,24,,-0.05,0.15,115,94,21,81.73913043478261,1.7095486291107362,6.1653556521739175
forex,AUDUSD,mean_reversion,0.0001,1.5,16,2.0,0.0,0.15,85,66,19,77.64705882352942,1.7083535036783613,4.193569411764728
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,-0.05,0.15,91,70,21,76.92307692307693,1.7006893607338205,4.155314285714263
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.5,,,164,126,38,76.82926829268293,1.6959958383811649,4.011351219512225
forex,AUDUSD,mean_reversion,0.0001,2.0,24,,0.0,0.15,93,76,17,81.72043010752688,1.69412619766829,6.024979569892492
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.0,0.0,0.15,76,63,13,82.89473684210526,1.679160189346046,3.575546052631624
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.5,-0.2,0.4,162,124,38,76.5432098765432,1.6702839615065137,3.9108549382716387
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,-0.1,0.1,112,90,22,80.35714285714286,1.6696219288748924,4.402517857142859
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.5,-0.1,0.25,165,129,36,78.18181818181819,1.6659458484005392,3.833427272727289
forex,AUDUSD,mean_reversion,0.0001,1.5,16,,-0.05,0.15,155,125,30,80.64516129032258,1.6557079183280872,5.295120645161287
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.5,-0.1,0.25,161,125,36,77.63975155279503,1.6542897286349607,3.7867534161490872
forex,AUDUSD,mean_reversion,0.0001,2.0,16,1.5,-0.05,0.15,75,60,15,80.0,1.653890018726121,3.875033333333322
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,-0.1,0.1,61,51,10,83.60655737704919,1.642569266047363,3.5133327868853135
forex,AUDUSD,mean_reversion,0.0001,3.0,6,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.642307337673103,3.7859130434781814
forex,AUDUSD,mean_reversion,0.0001,3.0,10,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.642307337673103,3.7859130434781814
forex,AUDUSD,mean_reversion,0.0001,3.0,16,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.642307337673103,3.7859130434781814
forex,AUDUSD,mean_reversion,0.0001,1.5,6,,-0.05,0.15,165,134,31,81.21212121212122,1.6414077147124027,4.9654333333333245
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,0.0,0.15,61,51,10,83.60655737704919,1.6410832243338673,3.457404918032844
