dataset,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,trades_per_month,active_days,trades_per_active_day,active_weeks,trades_per_active_week,base_trades,base_win_rate_pct,market,symbol
momentum,45,45,0,100.0,99.3748223927252,97.12137703241545,inf,2.780181608153419,0.04259514888582134,0.2981660422007494,1.296489844212187,40,1.125,30,1.5,612,71.24183006535948,forex,AUDUSD
momentum,44,43,1,97.72727272727273,97.05857019810509,92.17572063394083,58.8046036093798,2.9137753187839297,0.04237135118868492,0.2965994583207945,1.2896780018055973,40,1.1,37,1.1891891891891893,516,67.63565891472868,forex,EURUSD
momentum,62,62,0,100.0,99.53844421929527,97.87781144125117,inf,2.488651196220827,0.05888055714935797,0.4121639000455058,1.7921769582335831,59,1.0508474576271187,46,1.3478260869565217,705,70.92198581560284,forex,GBPUSD
momentum,62,61,1,98.38709677419355,97.94028722600152,94.46052073055591,inf,2.818627633573432,0.059034734482553405,0.4132431413778739,1.7968697308127195,60,1.0333333333333334,49,1.2653061224489797,672,70.23809523809523,forex,NZDUSD
momentum,34,34,0,100.0,99.07738095238095,95.95415583913268,inf,2.7021646060681106,0.03287869935733424,0.2301508955013397,1.000745411688861,33,1.0303030303030303,28,1.2142857142857142,480,67.70833333333334,forex,USDCAD
momentum,48,47,1,97.91666666666666,97.38867404372631,92.9683323835257,1165.2538863237075,2.5574415258226226,0.04571564629899699,0.32000952409297895,1.391469984225721,45,1.0666666666666667,40,1.2,533,72.04502814258912,forex,USDCHF
momentum,48,48,0,100.0,99.31333435629891,97.02432530434336,inf,2.4976330138280303,0.04562647285977385,0.31938531001841697,1.3887557676693667,47,1.0212765957446808,38,1.263157894736842,532,66.35338345864662,forex,USDJPY
momentum,33,32,1,96.96969696969697,96.16454689984101,89.80189912220362,102.81821832292114,2.61892904463829,0.031562901634934394,0.22094031144454077,0.9606958185133155,32,1.03125,29,1.1379310344827587,592,69.5945945945946,futures,6A
momentum,70,69,1,98.57142857142858,98.19816147245265,95.12560809762799,433.5062377660881,2.4807914742765664,0.06639397711779003,0.46475783982453023,2.020866678522734,66,1.0606060606060606,54,1.2962962962962963,691,72.06946454413892,futures,6B
momentum,54,54,0,100.0,99.44444444444444,97.49766806498918,inf,2.7356376135241733,0.05156156753530933,0.3609309727471653,1.5694052118559776,51,1.0588235294117647,41,1.3170731707317074,684,69.44444444444444,futures,6C
momentum,43,43,0,100.0,99.27740997900855,96.80271878163403,inf,3.041119262628432,0.04147659907963748,0.2903361935574623,1.2624439844864659,41,1.048780487804878,37,1.162162162162162,563,68.20603907637656,futures,6E
momentum,61,60,1,98.36065573770492,97.91401538206163,94.3849168990336,inf,2.6739157519216827,0.058018685662766384,0.40613079963936466,1.7659437448604518,55,1.1090909090909091,42,1.4523809523809523,583,70.66895368782161,futures,6J
momentum,44,43,1,97.72727272727273,97.01609736945426,92.09919732753659,509.2178856686403,2.65859619310099,0.041555170785455696,0.29088619549818984,1.2648355107823075,43,1.0232558139534884,36,1.2222222222222223,566,65.7243816254417,futures,CL
momentum,56,55,1,98.21428571428571,97.73189880779296,93.90019918410934,359.26418968577303,2.578165138175106,0.05331534998115715,0.37320744986810006,1.6227859650514707,55,1.018181818181818,43,1.302325581395349,543,70.71823204419888,futures,ES
momentum,45,44,1,97.77777777777777,97.12717605694195,92.35153112972219,356.06995595966333,3.2563915451644436,0.04290865026470267,0.3003605518529187,1.3060320424318876,43,1.0465116279069768,34,1.3235294117647058,507,67.85009861932939,futures,GC
momentum,41,41,0,100.0,99.2034632034632,96.54648383587845,inf,2.612049032799895,0.03974232112926352,0.27819624790484465,1.2096568993719583,40,1.025,36,1.1388888888888888,550,66.54545454545455,futures,HG
momentum,51,51,0,100.0,99.39439014024649,97.30559647457345,inf,3.041637769216747,0.04912210293970101,0.3438547205779071,1.4951540082271495,46,1.108695652173913,40,1.275,543,68.50828729281768,futures,NG
momentum,40,36,4,90.0,89.44309705761223,80.14972969639096,20.04861672527255,2.6690063009826077,0.03907919643402333,0.27355437503816327,1.1894730414605847,39,1.0256410256410255,33,1.2121212121212122,533,67.16697936210132,futures,NQ
momentum,42,40,2,95.23809523809523,94.58437273678283,87.89687250504804,83.4998191795625,3.025171145000983,0.04026443507959016,0.28185104555713114,1.2255487427350256,40,1.05,37,1.135135135135135,578,67.1280276816609,futures,RTY
momentum,43,43,0,100.0,99.29634422516985,96.85405793072024,inf,2.721257026330907,0.04143080814163555,0.2900156569914489,1.261050222811032,43,1.0,32,1.34375,562,69.03914590747331,futures,SI
momentum,38,37,1,97.36842105263158,96.60222612770943,90.98765123594657,2409.764652966838,2.799317152381694,0.03636182407176676,0.25453276850236733,1.1067630201844008,38,1.0,35,1.0857142857142856,569,67.48681898066783,futures,YM
momentum,44,43,1,97.72727272727273,97.08205443012073,92.21814781744246,103.72688539713634,2.669147927118923,0.04215148188803512,0.29506037321624584,1.282985729967069,44,1.0,35,1.2571428571428571,543,68.69244935543279,futures,ZB
momentum,38,37,1,97.36842105263158,96.65796611904398,91.08802856636142,inf,2.8477091934993095,0.03667916788159707,0.2567541751711795,1.1164221723961107,38,1.0,36,1.0555555555555556,501,69.66067864271457,futures,ZN
momentum,65,64,1,98.46153846153847,98.06092008164548,94.7590155958882,454.04140525850516,2.8162395010328756,0.06140704803330151,0.42984933623311056,1.8690770245136148,58,1.1206896551724137,51,1.2745098039215685,579,72.02072538860104,gold_spot,XAUUSD
mean_reversion,81,81,0,100.0,99.6641174038859,98.4193729830235,inf,4.595703011086008,0.07803546519212821,0.5462482563448976,2.375204471785403,78,1.0384615384615385,59,1.3728813559322033,472,72.45762711864407,forex,AUDUSD
mean_reversion,56,56,0,100.0,99.4595493473019,97.57267343232242,inf,4.381478130927008,0.053822434023467224,0.3767570381642706,1.6382203355892837,55,1.018181818181818,44,1.2727272727272727,422,69.19431279620854,forex,EURUSD
