dataset,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,trades_per_month,active_days,trades_per_active_day,active_weeks,trades_per_active_week,base_trades,base_win_rate_pct,market,symbol
momentum,89,86,3,96.62921348314607,96.35210553018771,92.50009812815007,86.17972417673114,2.487586007339564,0.12217582794714865,0.8552307956300406,3.7187267631413374,72,1.2361111111111112,45,1.9777777777777779,438,71.68949771689498,forex,AUDUSD
momentum,72,70,2,97.22222222222221,96.81126331811262,92.80801542218602,13.664628941749145,2.6983639530820107,0.09942319586887415,0.695962371082119,3.026193524258857,61,1.180327868852459,49,1.469387755102041,360,67.22222222222223,forex,EURUSD
momentum,110,101,9,91.81818181818183,91.62028270308525,86.48862644777805,58.26092967415447,2.2342405864243244,0.15092829476753328,1.056498063372733,4.593879971986794,101,1.0891089108910892,60,1.8333333333333333,471,69.85138004246284,forex,GBPUSD
momentum,110,104,6,94.54545454545455,94.31854214462909,90.03132486525155,26.22648286280733,2.6256261579611255,0.15114215377569132,1.0579950764298391,4.600389305547604,102,1.0784313725490196,63,1.746031746031746,483,69.35817805383023,forex,NZDUSD
momentum,56,53,3,94.64285714285714,94.1936885557547,88.1749824093096,49.23159343655375,2.21609911832282,0.07850352652560565,0.5495246856792395,2.3894510886231215,54,1.037037037037037,39,1.435897435897436,323,69.04024767801857,forex,USDCAD
momentum,65,63,2,96.92307692307692,96.5344938749194,92.15480492689113,528.615073396818,2.3090861552717774,0.08903728436282693,0.6232609905397886,2.710072342793545,63,1.0317460317460319,40,1.625,376,71.27659574468085,forex,USDCHF
momentum,72,69,3,95.83333333333334,95.44711311362232,90.69742557217249,63.81000961300858,2.3396939442268225,0.09880778797495497,0.6916545158246847,3.0074620464876918,64,1.125,44,1.6363636363636365,377,67.63925729442971,forex,USDJPY
momentum,68,65,3,95.58823529411765,95.21093413689195,90.20856346653049,44.726721609159554,2.3922166003700376,0.09335716839470862,0.6535001787629603,2.8415588130139433,61,1.1147540983606556,46,1.4782608695652173,404,69.55445544554455,futures,6A
momentum,107,104,3,97.19626168224299,96.96387235449735,93.74274562924289,110.09274871347931,2.483198690451261,0.14652725275665807,1.0256907692966064,4.4599232557807795,90,1.1888888888888889,59,1.8135593220338984,448,72.09821428571429,futures,6B
momentum,107,99,8,92.5233644859813,92.30590423059041,87.30283679451702,68.33989475973992,2.2337660410069047,0.14652725275665807,1.0256907692966064,4.4599232557807795,98,1.0918367346938775,66,1.621212121212121,478,69.0376569037657,futures,6C
momentum,71,69,2,97.1830985915493,96.77777777777779,92.72679675856845,13.36967664468177,2.6388634839038976,0.09795496026328271,0.6856847218429789,2.981504103013667,65,1.0923076923076922,47,1.5106382978723405,375,68.0,futures,6E
momentum,80,79,1,98.75,98.42732179415597,95.73438032962957,416.664424284612,2.261181235461987,0.10971115110996829,0.767978057769778,3.33933316190966,69,1.1594202898550725,49,1.6326530612244898,398,72.61306532663316,futures,6J
momentum,92,84,8,91.30434782608695,91.0394265232975,85.26545278929785,37.17288936862984,2.4438543588816084,0.1262471768775551,0.8837302381428858,3.8426484462105837,88,1.0454545454545454,55,1.6727272727272726,393,66.66666666666666,futures,CL
momentum,83,74,9,89.1566265060241,88.94557823129252,82.27940177872752,32.58475947522668,2.419047180676775,0.11379605826906598,0.7965724078834618,3.4636675235646956,80,1.0375,50,1.66,364,71.42857142857143,futures,ES
momentum,66,63,3,95.45454545454545,95.04294171600101,89.88384627050918,145.82681717399416,2.3970260007240984,0.0907788411943378,0.6354518883603646,2.7630809788526567,59,1.11864406779661,42,1.5714285714285714,358,67.87709497206704,futures,GC
momentum,64,62,2,96.875,96.40498319161559,91.91355658016049,321.56972169487426,2.6635996043543138,0.08776139869729174,0.6143297908810421,2.6712375728488174,60,1.0666666666666667,46,1.391304347826087,389,66.32390745501286,futures,HG
momentum,90,87,3,96.66666666666667,96.35018720891296,92.5182027988906,171.2368647254389,2.6373699745644097,0.12322085627085769,0.8625459938960038,3.7505348127442306,79,1.139240506329114,51,1.7647058823529411,361,67.86703601108033,futures,NG
momentum,70,63,7,90.0,89.65544680512453,82.62093388921417,16.2452471008171,2.7545250197936055,0.09611671315168419,0.6728169920617894,2.925552456554388,66,1.0606060606060606,43,1.627906976744186,354,65.5367231638418,futures,NQ
momentum,90,81,9,90.0,89.75197830159662,83.55465445997139,32.13292639232239,2.7488576957442703,0.12379642365887207,0.8665749656121045,3.768053645116919,84,1.0714285714285714,57,1.5789473684210527,393,67.43002544529261,futures,RTY
