market,symbol,phase,entry_time,exit_time,side,bars_held,pnl_atr,raw_pnl_points,win,atr_pct,atr_regime,bb_width_pct,bb_squeeze_rank_125,bb_keltner_width_ratio,bb_percent_b,bb_z,pos12,pos24,pos48,pos96,roll24_atr,roll48_atr,roll96_atr,efficiency24,efficiency48,efficiency96,chop24,chop48,chop96,gap_atr,range_atr,close_location,adx14,di_abs_spread14,ema_gap_atr,close_ema200_atr,signal_extension,lower_wick_atr,upper_wick_atr,body_atr,hour_utc,day_of_week,is_london_ny,abs_ema_gap_atr,abs_close_ema200_atr,abs_signal_extension,abs_body_atr,trade_rsi_proxy,trade_ema_gap,trade_di_spread14,filter_phase,pip_size,pnl_pips
forex,EURUSD,momentum,2023-12-18 15:45:00+00:00,2023-12-19 07:30:00+00:00,long,63,2.556906373471424,0.0019,1,0.0006808553051678,1.145082290204741,0.0024162723491307,0.2131526109149985,1.0330779821187863,0.3331512939273496,-0.6673948242906187,0.1428571428571277,0.2799999999999751,0.2799999999999751,0.5813953488372009,3.3643504914096733,3.3643504914096733,5.786682845224722,0.0631578947368595,0.0188679245282997,0.0201342281879246,64.71522083475911,66.13769943380716,58.60530661697072,0.1345740196563749,0.8074441179382499,0.5,20.363668486163665,4.941344623630215,0.0404992483358801,-0.5557088735284179,-1.997898625914144,0.4037220589691249,0.4037220589691249,0.0,15.75,0.0,1.0,0.0404992483358801,0.5557088735284179,1.997898625914144,0.0,-0.0805765538877679,0.0404992483358801,-4.941344623630215,momentum,0.0001,19.0
forex,EURUSD,momentum,2023-12-20 17:00:00+00:00,2023-12-21 11:30:00+00:00,long,74,3.85910495107214,0.0025000000000001,1,0.0005914531257557,1.263506480428685,0.0042138704536221,0.6881703488234452,1.879585648200816,0.3786684462003518,-0.4853262151985946,0.0,0.4523809523809574,0.4523809523809574,0.3689320388349548,6.483296317800729,6.483296317800729,7.949756199208053,0.0344827586206843,0.0677083333333355,0.0923076923076874,49.34213977526255,55.67664530821868,51.28191016631433,0.0,0.6174567921714328,0.0,25.384025392850717,4.087651495687066,1.232923679634045,0.1988085237260877,-2.076911679818682,0.0,0.1543641980428582,-0.4630925941285745,17.0,2.0,1.0,1.232923679634045,0.1988085237260877,2.076911679818682,0.4630925941285745,-0.112617357333988,1.232923679634045,-4.087651495687066,momentum,0.0001,25.000000000001
forex,EURUSD,momentum,2024-01-05 14:30:00+00:00,2024-01-08 08:15:00+00:00,short,63,1.1239388714925018,0.0008000000000001,1,0.0006506238413027,1.6396771375063632,0.0035083762560516,0.6481992310197348,1.0962171539801997,1.069934013821851,2.2797360552873647,0.8630136986301536,0.8630136986301536,0.8513513513513692,0.7078651685393373,10.25594220236748,10.396434561304003,12.503819945352172,0.2761904761904717,0.0548780487804781,0.0177935943060472,40.14956669934318,41.609524976699504,43.27392940827195,-0.1404923589365237,1.9668930251116443,0.285714285714399,26.50503964330664,1.6731070125779688,-2.415240798648097,-0.0770006784304125,2.1420735174456107,0.5619694357464069,0.7024617946826187,-0.7024617946826187,14.5,4.0,1.0,2.415240798648097,0.0770006784304125,2.1420735174456107,0.7024617946826187,-0.2849035628469232,2.415240798648097,1.6731070125779688,momentum,0.0001,8.000000000001
forex,EURUSD,momentum,2024-01-12 07:45:00+00:00,2024-01-12 15:30:00+00:00,long,31,0.917154373667826,0.0005999999999999,1,0.0005964600590325,0.8116446545185776,0.0017135922791297,0.2066642154462281,1.179882995422225,0.119573200751393,-1.5217071969945124,0.3809523809523407,0.3199999999999716,0.413793103448289,0.5428571428571374,3.8214765569496154,4.432912806061838,10.700134359459328,0.2830188679244872,0.1083333333333277,0.0253164556962044,46.04249897478907,54.26647454444688,52.64884559053727,0.0,1.222872498223768,0.75,19.18348119333586,19.2610844619945,1.318000261854494,0.3779069275959938,-2.824987414633953,0.305718124555942,0.305718124555942,0.611436249111884,7.75,4.0,1.0,1.318000261854494,0.3779069275959938,2.824987414633953,0.611436249111884,-0.1747896542221718,1.318000261854494,-19.2610844619945,momentum,0.0001,5.999999999999
forex,EURUSD,momentum,2024-01-12 16:00:00+00:00,2024-01-18 06:30:00+00:00,long,338,-8.89784313217419,-0.0065999999999999,0,0.0006762264505112,1.3585506783078447,0.0049591629820591,0.7213618596191251,1.7993644216908504,0.6764801300026556,0.7059205200106363,0.5909090909090817,0.6470588235294144,0.6470588235294144,0.6470588235294144,6.87560605668026,6.87560605668026,6.87560605668026,0.0781893004115196,0.0255102040816277,0.0710059171597572,48.33884479051172,52.450583975416464,57.19647621674873,0.0,1.1459343427800437,0.4117647058824297,24.983356565058003,0.6011754242816387,0.0466988567397679,0.5701525758433797,-1.5877603353110796,0.067407902516614,0.6740790251646434,0.404447415098786,16.0,4.0,1.0,0.0466988567397679,0.5701525758433797,1.5877603353110796,0.404447415098786,0.0556679059195644,0.0466988567397679,0.6011754242816387,momentum,0.0001,-65.999999999999
forex,EURUSD,momentum,2024-01-19 10:00:00+00:00,2024-01-19 14:45:00+00:00,short,19,-0.5474064494605192,-0.00035,0,0.0005878803384575,1.0378864955037606,0.0013511932312342,0.1218816426390924,0.7381717312080991,0.2924545678592146,-0.8301817285630829,0.4324324324324065,0.3999999999999556,0.4166666666666281,0.5999999999999911,3.1280368540594647,3.753644224871288,7.820092135148488,0.127906976744192,0.0322580645161244,0.0403726708074553,62.00658852370674,60.22251233431421,55.51059445231899,-0.1564018427029558,1.720420269732862,0.0909090909090725,19.89438148675117,3.298262930886585,-0.2550525972997175,-0.8360593743097811,1.959004153100484,0.1564018427029558,0.6256073708118235,-0.9384110562180824,10.0,4.0,1.0,0.2550525972997175,0.8360593743097811,1.959004153100484,0.9384110562180824,0.0709222803165985,0.2550525972997175,-3.298262930886585,momentum,0.0001,-3.5
forex,EURUSD,momentum,2024-01-19 16:30:00+00:00,2024-01-23 11:15:00+00:00,short,164,2.8219970199283697,0.0019,1,0.0006187116998092,1.2052253856690918,0.001654516073309,0.1449652227187676,0.7395935868448779,0.5666502118040527,0.2666008472162419,0.6800000000000285,0.5862068965517558,0.5862068965517558,0.7272727272727548,4.3072586093641805,4.3072586093641805,6.535150993518226,0.0410958904109564,0.0372670807453369,0.0636704119850191,59.22984521549908,63.7025006471079,56.49959997449097,0.0,0.8911569536614863,0.0,18.77018041044656,6.966500143029652,-0.0915807625325336,0.1011042620949423,1.7252924224261053,0.0,0.148526158943581,-0.7426307947179053,16.5,4.0,1.0,0.0915807625325336,0.1011042620949423,1.7252924224261053,0.7426307947179053,-0.0284913315955554,0.0915807625325336,-6.966500143029652,momentum,0.0001,19.0
forex,EURUSD,momentum,2024-01-24 07:45:00+00:00,2024-01-25 15:00:00+00:00,short,125,4.455824572603077,0.0024999999999999,1,0.0005160627125038,0.9011502387777512,0.0017650460373374,0.1965740477930552,1.2651298415490264,0.911681745341734,1.646726981366944,0.6190476190475536,0.7037037037036702,0.7777777777777435,0.5666666666666601,4.812290538411687,6.416387384548652,16.040968461371232,0.2830188679244809,0.2699999999999862,0.1216216216216238,42.734439271737735,44.4893054656121,40.896546431110586,0.0,1.9605628119455756,0.2727272727272177,23.774242529019503,20.909145154004573,-1.391224484883298,0.2793147339791402,2.7689741990661543,0.5346989487123217,0.1782329829041072,-1.2476308803291465,7.75,2.0,1.0,1.391224484883298,0.2793147339791402,2.7689741990661543,1.2476308803291465,-0.2518138527195249,1.391224484883298,-20.909145154004573,momentum,0.0001,24.999999999998998
forex,EURUSD,momentum,2024-01-31 09:15:00+00:00,2024-01-31 21:00:00+00:00,short,47,5.122088662115925,0.0028999999999999,1,0.0005225429473232,1.2290346544484714,0.0019297949303339,0.3789298092164396,1.0016218438868578,1.193470395191059,2.773881580764173,0.9666666666666692,0.9666666666666692,0.6904761904761704,0.5686274509803614,5.298712409085427,7.418197372719833,9.007811095445737,0.2499999999999653,0.0973451327433767,0.0539568345323693,48.0185794501796,44.42512710544082,52.69098669811765,-0.1766237469695011,1.5896137227255105,0.8888888888888888,32.12855233216487,3.162881498950988,-1.726439386533532,0.2472066836586123,2.58676794339708,1.059742481817007,0.1766237469695011,0.3532474939390023,9.25,2.0,1.0,1.726439386533532,0.2472066836586123,2.58676794339708,0.3532474939390023,-0.2565621115182786,1.726439386533532,-3.162881498950988,momentum,0.0001,28.999999999998998
forex,EURUSD,momentum,2024-02-13 07:15:00+00:00,2024-02-13 08:30:00+00:00,short,5,1.8962073285416736,0.00085,1,0.0004161374103985,0.7985062766131309,0.0013762826024197,0.2577544689499531,1.3806108139938418,0.90302681724335,1.612107268973194,0.6249999999999133,0.6666666666665845,0.6666666666665845,0.3333333333333333,4.015497872205868,4.015497872205868,11.377243971250042,0.0882352941176412,0.0821917808219432,0.1126436781609273,44.054876285681,56.27536359350797,47.92299336369716,-0.111541607561508,1.7846657209806611,0.2499999999999306,22.11172340404248,18.35871837440075,-1.4534291551589396,-0.6151808345524515,2.654068735255505,0.4461664302450414,0.6692496453680574,-0.6692496453675622,7.25,1.0,1.0,1.4534291551589396,0.6151808345524515,2.654068735255505,0.6692496453675622,-0.1842755320339672,1.4534291551589396,-18.35871837440075,momentum,0.0001,8.5
