key,size_multiplier,trades,wins,losses,win_rate_pct,profit_factor_dollars,total_pnl,avg_pnl
GC:ict_sweep_fvg,15,136,93,43,68.38235294117648,2.58774139378668,28364.99999999926,208.5661764705828
RTY:ict_sweep_fvg,40,151,107,44,70.86092715231787,2.1956352299298625,30680.00000000019,203.1788079470211
NQ:ict_sweep_fvg,15,155,101,54,65.16129032258064,1.8709677419354838,28957.5,186.82258064516128
CL:ict_sweep_fvg,35,176,128,48,72.72727272727273,1.8278965129358882,25760.000000000102,146.36363636363694
6B:mean_reversion,9,107,82,25,76.63551401869158,1.6154417223459616,4663.125000000039,43.580607476635876
YM:ict_sweep_fvg,35,155,99,56,63.87096774193548,1.4980487804878049,17867.5,115.2741935483871
NQ:momentum,4,163,135,28,82.82208588957054,1.4025844930417495,11340.0,69.57055214723927
CL:momentum,2,251,199,52,79.2828685258964,1.1621968616262484,4548.000000000004,18.119521912350613
