market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,chosen_size_multiplier
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,42691,42692,42695,2020-08-28 14:00:00+00:00,2020-08-28 14:15:00+00:00,2020-08-28 15:00:00+00:00,1962.9,1974.0,-110.99999999999909,-113.99999999999909,-1.0,166.49999999999864,110.99999999999909,3.0,sl,3,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,42787,42788,42807,2020-08-31 15:00:00+00:00,2020-08-31 15:15:00+00:00,2020-08-31 20:00:00+00:00,1974.7,1975.1,3.9999999999986358,0.9999999999986358,0.012499999999982876,115.49999999999955,77.00000000000045,3.0,session_close,19,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,42873,42874,42877,2020-09-01 13:30:00+00:00,2020-09-01 13:45:00+00:00,2020-09-01 14:30:00+00:00,1989.8,1973.75,160.49999999999955,157.49999999999955,1.4318181818181717,160.49999999999955,107.00000000000045,3.0,tp,3,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,43319,43320,43328,2020-09-08 14:00:00+00:00,2020-09-08 14:15:00+00:00,2020-09-08 16:15:00+00:00,1924.6,1943.9499999999998,193.4999999999991,190.4999999999991,1.4431818181818261,193.4999999999991,128.99999999999864,3.0,tp,8,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,44056,44057,44079,2020-09-18 14:15:00+00:00,2020-09-18 14:30:00+00:00,2020-09-18 20:00:00+00:00,1961.0,1958.1,-29.00000000000091,-32.00000000000091,-0.3298969072165011,141.00000000000136,94.00000000000091,3.0,session_close,22,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,44238,44239,44263,2020-09-22 13:45:00+00:00,2020-09-22 14:00:00+00:00,2020-09-22 20:00:00+00:00,1911.1,1906.9,41.99999999999818,38.99999999999818,0.3145161290322399,181.5000000000009,121.00000000000136,3.0,session_close,24,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,44516,44517,44539,2020-09-25 14:15:00+00:00,2020-09-25 14:30:00+00:00,2020-09-25 20:00:00+00:00,1864.7,1866.5,17.999999999999545,14.999999999999545,0.13761467889907666,159.00000000000318,106.00000000000136,3.0,session_close,22,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,44884,44885,44888,2020-10-01 14:15:00+00:00,2020-10-01 14:30:00+00:00,2020-10-01 15:15:00+00:00,1903.7,1915.3,-115.99999999999909,-118.99999999999909,-1.0,173.99999999999864,115.99999999999909,3.0,sl,3,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,44974,44975,44999,2020-10-02 13:45:00+00:00,2020-10-02 14:00:00+00:00,2020-10-02 20:00:00+00:00,1908.2,1906.1,-21.000000000001364,-24.000000000001364,-0.40000000000001973,85.49999999999955,57.000000000000455,3.0,session_close,24,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,45158,45159,45166,2020-10-06 13:45:00+00:00,2020-10-06 14:00:00+00:00,2020-10-06 15:45:00+00:00,1919.9,1909.2500000000002,106.49999999999864,103.49999999999864,1.3986486486486474,106.49999999999864,70.99999999999909,3.0,tp,7,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,45714,45715,45735,2020-10-14 14:45:00+00:00,2020-10-14 15:00:00+00:00,2020-10-14 20:00:00+00:00,1911.4,1904.4,70.0,67.0,1.0468750000000149,91.49999999999864,60.99999999999909,3.0,session_close,20,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,46544,46545,46563,2020-10-27 15:15:00+00:00,2020-10-27 15:30:00+00:00,2020-10-27 20:00:00+00:00,1910.1,1909.6,-5.0,-8.0,-0.0963855421686747,120.0,80.0,3.0,session_close,18,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,46821,46822,46839,2020-10-30 15:30:00+00:00,2020-10-30 15:45:00+00:00,2020-10-30 20:00:00+00:00,1876.6,1878.3,-17.000000000000455,-20.000000000000455,-0.13698630136986442,214.50000000000273,143.00000000000182,3.0,session_close,17,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,46911,46912,46931,2020-11-02 16:00:00+00:00,2020-11-02 16:15:00+00:00,2020-11-02 21:00:00+00:00,1895.3,1896.2,9.00000000000091,6.0000000000009095,0.06315789473685138,137.99999999999955,92.00000000000045,3.0,session_close,19,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,47099,47100,47115,2020-11-04 17:00:00+00:00,2020-11-04 17:15:00+00:00,2020-11-04 21:00:00+00:00,1896.5,1902.9,-64.00000000000091,-67.00000000000091,-0.3743016759776606,263.99999999999864,175.9999999999991,3.0,session_close,15,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,47273,47274,47299,2020-11-06 14:30:00+00:00,2020-11-06 14:45:00+00:00,2020-11-06 21:00:00+00:00,1947.2,1953.4,-62.000000000000455,-65.00000000000045,-0.43624161073826073,218.99999999999864,145.9999999999991,3.0,session_close,25,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,47555,47556,47575,2020-11-11 16:00:00+00:00,2020-11-11 16:15:00+00:00,2020-11-11 21:00:00+00:00,1863.4,1862.8,-6.000000000001364,-9.000000000001364,-0.09183673469389148,142.5,95.0,3.0,session_close,19,2
