symbol,phase,trades,wins,losses,win_rate_pct,profit_factor_r,total_r,avg_r,max_drawdown_r,trades_per_day,trades_per_week,max_concurrent_positions
ZN,mean_reversion,61,49,12,80.32786885245902,4.944444444444444,4.0188679245282986,0.06588308072997211,0.320754716981132,0.08525258407337312,0.5967680885136118,1
YM,mean_reversion,29,27,2,93.10344827586206,3.9264413518886676,5.852882703777335,0.20182354150956328,1.0775347912524857,0.04476244071066806,0.31333708497467644,1
ES,mean_reversion,55,49,6,89.0909090909091,2.6057098765432096,4.137176938369779,0.07522139887945054,1.0,0.07879773754980822,0.5515841628486575,1
CL,momentum,131,108,23,82.44274809160305,2.108841552378171,12.541254125412507,0.09573476431612601,2.498349834983495,0.1832728544572203,1.2829099812005422,1
RTY,mean_reversion,37,32,5,86.48648648648648,2.030791788856302,4.1928429423459095,0.11332007952286242,1.2345924453280324,0.05345372460496614,0.374176072234763,1
ZB,mean_reversion,61,44,17,72.1311475409836,1.6433121019108277,1.905660377358489,0.031240334055057196,2.037735849056604,0.08456928298072063,0.5919849808650444,1
6J,mean_reversion,50,43,7,86.0,1.603174603174607,2.059113300492622,0.04118226600985244,1.7142857142857035,0.07137546468401487,0.4996282527881041,1
SI,momentum,142,110,32,77.46478873239437,1.5711135611907356,6.178926441351858,0.043513566488393364,3.55864811133201,0.19496567505720822,1.3647597254004575,1
6J,momentum,77,62,15,80.51948051948052,1.398284313725491,2.145214521452148,0.027859928850027894,1.1683168316831685,0.10742312387374296,0.7519618671162007,1
6A,momentum,187,150,37,80.21390374331551,1.387256248283442,2.803180914512941,0.01499027227012268,1.389662027833,0.2560511189399666,1.7923578325797664,1
NQ,mean_reversion,97,79,18,81.44329896907216,1.3368396446937822,5.729622266401593,0.05906827078764529,3.50497017892644,0.13951188817474944,0.976583217223246,1
USDJPY,mean_reversion,29,24,5,82.75862068965517,1.3364810107330642,0.41024834437086033,0.014146494633477943,0.5976821192052969,0.04106194690265487,0.2874336283185841,1
HG,mean_reversion,37,29,8,78.37837837837837,1.3051519154557456,0.7623762376237593,0.020604763179020522,1.8019801980198051,0.05627911398421903,0.3939537978895332,1
GC,momentum,74,34,40,45.94594594594595,1.287168141592921,11.486725663716832,0.1552260224826599,9.371681415929203,0.10178379540081668,0.7124865678057167,1
GBPUSD,mean_reversion,76,60,16,78.94736842105263,1.2224904701397687,0.866831683168306,0.011405680041688238,1.1297029702970312,0.10821554115186663,0.7575087880630664,1
NQ,momentum,217,114,103,52.53456221198156,1.198067492673302,20.255192878338278,0.09334190266515335,16.8813056379822,0.3011492591254066,2.108044813877846,1
6E,momentum,112,84,28,75.0,1.1870705808869393,1.1908548707753104,0.010632632774779558,1.4711729622266576,0.15527923400199298,1.0869546380139508,1
GBPUSD,momentum,308,241,67,78.24675324675324,1.1747109682976113,6.849350649350653,0.02223815145893069,8.887012987012923,0.42173125472465095,2.9521187830725566,1
6B,mean_reversion,112,87,25,77.67857142857143,1.1609388097233766,0.9458128078817163,0.00844475721322961,1.6798029556650231,0.15509556437071764,1.0856689505950234,1
YM,momentum,126,101,25,80.15873015873017,1.1515252727677574,2.705765407554668,0.021474328631386257,5.37375745526839,0.17697923829868173,1.2388546680907722,1
NG,momentum,144,110,34,76.38888888888889,1.1428238583410983,2.0231023102310055,0.014049321598826428,4.320132013201325,0.1996245487364621,1.3973718411552347,1
AUDUSD,momentum,242,179,63,73.96694214876032,1.1253246370071746,3.3252421568628114,0.013740670069681039,6.82441176470584,0.3313602715693686,2.3195219009855803,1
EURUSD,momentum,84,68,16,80.95238095238095,1.0861830817994118,0.5868811881188055,0.006986680810938161,1.842029702970282,0.11645942550149474,0.8152159785104631,1
USDJPY,momentum,156,117,39,75.0,1.083543500170975,0.7969476095616653,0.005108638522831188,2.1284930278884735,0.21418764302059495,1.4993135011441647,1
ES,momentum,206,153,53,74.27184466019418,1.0826021180030256,3.6039603960396,0.01749495337883301,6.511551155115511,0.28518689432395017,1.9963082602676512,1
NZDUSD,momentum,398,263,135,66.08040201005025,1.0704206674169259,7.2629363636366575,0.018248583828232808,11.772681818181756,0.5462812044265248,3.8239684309856736,1
XAUUSD,momentum,854,227,627,26.580796252927403,1.0241285763370722,15.128617363344414,0.017715008622183157,44.05787781350463,1.1693457517365322,8.185420262155725,1
NZDUSD,mean_reversion,35,26,9,74.28571428571429,1.0136156297370273,0.030680392156888947,0.0008765826330539699,1.137255882352942,0.0499851234751562,0.3498958643260934,1
6A,mean_reversion,97,75,22,77.31958762886599,0.9783599088838195,-0.18719211822666593,-0.0019298156518212982,3.6650246305418785,0.13285206796684407,0.9299644757679084,1
ZB,momentum,74,53,21,71.62162162162163,0.9517045454545454,-0.43589743589743823,-0.005890505890505922,4.012820512820514,0.10231298787337616,0.7161909151136331,1
RTY,momentum,257,175,82,68.09338521400778,0.9233257229832567,-5.320132013201352,-0.020700902775102538,10.844884488448857,0.3554479837489735,2.4881358862428145,1
USDCHF,momentum,199,151,48,75.87939698492463,0.9107727804635346,-0.4737049800797002,-0.002380427035576383,1.5808754980079747,0.2725016403731492,1.9075114826120445,1
HG,momentum,175,111,64,63.42857142857142,0.9066693777958514,-5.884615384615408,-0.03362637362637376,15.769230769230766,0.24248722611933834,1.6974105828353685,1
AUDUSD,mean_reversion,189,138,51,73.01587301587301,0.8912366545203261,-1.3452039473683985,-0.0071174812030074,4.7795960526315495,0.2593778591033852,1.8156450137236964,1
6C,momentum,116,82,34,70.6896551724138,0.85374677002584,-1.3940886699507402,-0.012018005775437416,3.911330049261095,0.1597521087966948,1.1182647615768635,1
XAUUSD,mean_reversion,42,11,31,26.190476190476193,0.8417176641427239,-4.906752411575553,-0.1168274383708465,9.0,0.06010195867990341,0.42071371075932384,1
6E,mean_reversion,58,44,14,75.86206896551724,0.7884711779448619,-1.3927392739273967,-0.024012746102196496,1.9438943894389697,0.08044847714269202,0.5631393399988441,1
GC,mean_reversion,49,36,13,73.46938775510205,0.7763578274760373,-2.7184466019417655,-0.05547850208044419,4.320388349514581,0.06916833313727797,0.48417833196094573,1
USDCAD,mean_reversion,75,54,21,72.0,0.7689676896768923,-3.3337662337663008,-0.04445021645021734,4.770129870129928,0.10515861424315008,0.7361102997020506,1
NG,mean_reversion,105,71,34,67.61904761904762,0.7568570839348315,-3.891089108910898,-0.037057991513437125,4.059405940594064,0.14545874339807788,1.0182112037865452,1
ZN,momentum,131,84,47,64.12213740458014,0.7438016528925621,-1.6209150326797384,-0.012373397196028537,2.3725490196078427,0.181427355482782,1.2699914883794738,1
6C,mean_reversion,81,46,35,56.79012345679012,0.73966687230104,-2.078817733990225,-0.025664416469015124,2.216748768472906,0.11356964465670595,0.7949875125969417,1
EURUSD,mean_reversion,47,35,12,74.46808510638297,0.7283955638710371,-2.601688311688313,-0.05535507046145347,3.29129870129868,0.06519383317198629,0.45635683220390405,1
CL,mean_reversion,65,43,22,66.15384615384615,0.7223056139297516,-3.052805280528046,-0.04696623508504686,4.316831683168305,0.09270126127196826,0.6489088289037779,1
6B,momentum,120,90,30,75.0,0.7113676731793981,-6.310679611650426,-0.052588996763753545,9.59223300970866,0.16748811445021153,1.1724168011514806,1
USDCAD,momentum,189,158,31,83.5978835978836,0.6920821114369524,-9.545454545454472,-0.050505050505050116,10.40909090909081,0.25967855047158334,1.8177498533010834,1
SI,mean_reversion,36,27,9,75.0,0.6499402628434903,-1.1650099403578484,-0.032361387232162454,1.5964214711729585,0.05190747972364074,0.36335235806548516,1
USDCHF,mean_reversion,35,25,10,71.42857142857143,0.3551044986821092,-2.3465247524752453,-0.06704356435643558,2.779693069306916,0.05436277444302426,0.3805394211011698,1
