phase,trades,wins,losses,win_rate_pct,profit_factor_pips,avg_pnl_pips,gross_profit_pips,gross_loss_pips,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week
momentum,1154,920,234,79.72270363951473,1.8428568076222387,23.819488128249567,60100.21499999976,32612.52569999975,1.5805963760878872,11.06417463261521,452,2.5530973451327434,105,10.99047619047619
mean_reversion,761,629,132,82.65440210249672,1.3884171810671044,24.66441208935602,67092.96299999967,48323.345399999744,1.043061107938321,7.3014277555682465,329,2.31306990881459,105,7.247619047619048
