phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol
momentum,438,71.68949771689498,1.2254370549088949,89,86,3,96.62921348314607,96.35210553018771,92.50009812815007,86.17972417673114,2.487586007339564,0.12217582794714865,0.8552307956300406,72,1.2361111111111112,45,1.9777777777777779,forex,AUDUSD
momentum,360,67.22222222222223,1.1357388950867215,72,70,2,97.22222222222221,96.81126331811262,92.80801542218602,13.664628941749145,2.6983639530820107,0.09942319586887415,0.695962371082119,61,1.180327868852459,49,1.469387755102041,forex,EURUSD
momentum,471,69.85138004246284,1.2834590546508267,110,101,9,91.81818181818183,91.62028270308525,86.48862644777805,58.26092967415449,2.2342405864243258,0.15092829476753328,1.056498063372733,101,1.0891089108910892,60,1.8333333333333333,forex,GBPUSD
momentum,483,69.35817805383023,1.1069731297303746,110,104,6,94.54545454545455,94.31854214462909,90.03132486525155,26.22648286280733,2.6256261579611255,0.15114215377569132,1.0579950764298391,102,1.0784313725490196,63,1.746031746031746,forex,NZDUSD
momentum,323,69.04024767801857,1.117720996246925,56,53,3,94.64285714285714,94.1936885557547,88.1749824093096,49.23159343655375,2.21609911832282,0.07850352652560565,0.5495246856792395,54,1.037037037037037,39,1.435897435897436,forex,USDCAD
momentum,376,71.27659574468085,1.3056419427548558,65,63,2,96.92307692307692,96.5344938749194,92.15480492689113,528.6150733968178,2.3090861552717774,0.08903728436282693,0.6232609905397886,63,1.0317460317460319,40,1.625,forex,USDCHF
momentum,377,67.63925729442971,0.9669646492471105,72,69,3,95.83333333333334,95.44711311362232,90.69742557217249,63.81000961300859,2.3396939442268234,0.09880778797495497,0.6916545158246847,64,1.125,44,1.6363636363636365,forex,USDJPY
momentum,404,69.55445544554455,1.0890880995853316,68,65,3,95.58823529411765,95.21093413689195,90.20856346653049,44.726721609159554,2.3922166003700376,0.09335716839470862,0.6535001787629603,61,1.1147540983606556,46,1.4782608695652173,futures,6A
momentum,448,72.09821428571429,1.2254207906893049,107,104,3,97.19626168224299,96.96387235449735,93.74274562924289,110.09274871347931,2.483198690451261,0.14652725275665807,1.0256907692966064,90,1.1888888888888889,59,1.8135593220338984,futures,6B
momentum,478,69.0376569037657,1.3487968632974114,107,99,8,92.5233644859813,92.30590423059041,87.30283679451702,68.33989475973992,2.2337660410069047,0.14652725275665807,1.0256907692966064,98,1.0918367346938775,66,1.621212121212121,futures,6C
