market,symbol,phase,entry_time,exit_time,side,bars_held,pnl_atr,raw_pnl_points,win,atr_pct,atr_regime,bb_width_pct,bb_squeeze_rank_125,bb_keltner_width_ratio,bb_percent_b,bb_z,pos12,pos24,pos48,pos96,roll24_atr,roll48_atr,roll96_atr,efficiency24,efficiency48,efficiency96,chop24,chop48,chop96,gap_atr,range_atr,close_location,adx14,di_abs_spread14,ema_gap_atr,close_ema200_atr,signal_extension,lower_wick_atr,upper_wick_atr,body_atr,hour_utc,day_of_week,is_london_ny,abs_ema_gap_atr,abs_close_ema200_atr,abs_signal_extension,abs_body_atr,trade_rsi_proxy,trade_ema_gap,trade_di_spread14,filter_phase
gold_spot,XAUUSD,momentum,2023-12-20 15:30:00+00:00,2023-12-21 13:00:00+00:00,long,82,1.2966371242903205,2.5499999999999545,1,0.0009668593623686191,1.4992964388070198,0.003495527518649994,0.1919609482374886,0.8037864011954542,0.4096346396238622,-0.3614614415045459,0.42933723196880863,0.40045454545454295,0.3167925206760145,0.2531609195402303,5.5933366145857955,7.070485965983212,8.847641553981099,0.16581564095672877,0.11565785734583656,0.0344573623020659,57.100249638934066,50.380182961228314,50.98694352101675,0.0,1.721222221852079,0.5967503692762148,20.64533942580459,6.831741709945195,1.2251638419722408,0.14449496557579541,-2.4571357558590456,0.005084851467800644,0.6940822253554239,1.0220551450288544,15.5,2.0,1.0,1.2251638419722408,0.14449496557579541,2.4571357558590456,1.0220551450288544,-0.08737687552462703,1.2251638419722408,-6.831741709945195,momentum
gold_spot,XAUUSD,momentum,2023-12-28 16:45:00+00:00,2024-01-02 06:00:00+00:00,long,141,0.28881115430091175,0.6049999999995634,1,0.001009899645738295,1.3096244837730415,0.0035856844190130027,0.22310519229307038,0.9037031659575148,0.2527778214391041,-0.98888871424364,0.2301278488049126,0.29228410832909246,0.1761626116415217,0.1668124817731193,4.671102718737882,7.750163785254086,8.184573951227602,0.11360294117645808,0.2193777777777705,0.04820143884891666,59.61067437267922,52.092508284073446,54.235698721734984,0.0,1.1671789624236133,0.439672801636074,25.09760652501462,9.790567287020522,2.035872054759595,0.6657443519320502,-1.7022709292183404,0.513176844419476,0.23868690438109103,-0.4153152136230463,16.75,3.0,1.0,2.035872054759595,0.6657443519320502,1.7022709292183404,0.4153152136230463,-0.1773424606243475,2.035872054759595,-9.790567287020522,momentum
gold_spot,XAUUSD,momentum,2024-01-02 11:45:00+00:00,2024-01-12 11:00:00+00:00,long,733,-11.563495684595342,-24.1099999999999,0,0.0010075966356610062,1.1666422312494777,0.0041913220575097295,0.4360811257489201,1.188516939857806,-0.08445341327318115,-2.337813653092636,0.08804143126176601,0.08804143126176601,0.41621458710065545,0.5321256038647328,5.093501624653745,7.956797735687845,9.928011641274262,0.1737910546294748,0.10055814804647904,0.04219110922547407,52.42481273434016,46.990832137869404,51.31002880712694,0.0,0.9736166005695128,0.4605911330048538,22.561441275617597,13.950539048808595,1.4739372857144748,-0.31804729487618444,-2.421416701924628,0.23740897403042124,0.5251774274008667,0.2110301991382249,11.75,1.0,1.0,1.4739372857144748,0.31804729487618444,2.421416701924628,0.2110301991382249,-0.21451955589879104,1.4739372857144748,-13.950539048808595,momentum
gold_spot,XAUUSD,momentum,2024-01-22 13:45:00+00:00,2024-01-23 07:00:00+00:00,long,65,5.266195794071055,10.670000000000073,1,0.0010014336065086657,1.1749560840461701,0.0047375411172593815,0.44349963204487297,1.342109472430676,0.36048710257089334,-0.5580515897164389,0.21734234234234684,0.28276573787409637,0.37018577254191265,0.2015293537247183,4.7825152056746445,5.446342135667678,10.004291353872489,0.057288481141691355,0.1299804049640749,0.09761519805982227,55.272065761677325,57.27579442550476,50.746685251087094,0.0,1.791592383549988,0.5316804407713515,20.8954191707253,8.8776069528158,0.1073834568917364,-0.7207144676849635,-2.09609756593964,0.8760541269425058,0.8390377553815344,0.07650050122594791,13.75,0.0,1.0,0.1073834568917364,0.7207144676849635,2.09609756593964,0.07650050122594791,-0.1201143964237464,0.1073834568917364,-8.8776069528158,momentum
gold_spot,XAUUSD,momentum,2024-01-29 14:45:00+00:00,2024-01-29 16:45:00+00:00,long,8,1.1711701546121256,2.300000000000182,1,0.0009698636744269281,1.3178916707624062,0.006689934318374352,1.0,1.7446575433534584,0.16979784881617174,-1.3208086047353043,0.2002510985561745,0.2002510985561745,0.2002510985561745,0.41059449456396,8.111626331725867,8.111626331725867,11.006453431277873,0.19841850929858235,0.012218403970983229,0.0018386920439293097,38.29605816061794,45.04709104203396,47.27512492266394,0.0,1.637092194381561,0.992223950233253,26.679342105869402,18.534295607715375,2.8312750289067483,0.5556956034158361,-2.6621447707124726,1.4334104283620308,0.012730110376264063,0.19095165564326627,14.75,0.0,1.0,2.8312750289067483,0.5556956034158361,2.6621447707124726,0.19095165564326627,-0.2102495284739905,2.8312750289067483,-18.534295607715375,momentum
gold_spot,XAUUSD,momentum,2024-01-30 15:30:00+00:00,2024-01-30 17:00:00+00:00,long,6,2.0356096145668054,4.2000000000000455,1,0.0010155532444661296,1.652511371121746,0.009471601795633366,1.0,1.881286858934973,0.22287500758928241,-1.108499969642881,0.13133640552995537,0.13133640552995537,0.13133640552995537,0.39453961456102715,9.46558470773564,9.46558470773564,13.580424142895643,0.12803632236095586,0.01141262997717402,0.07243887654071701,40.95758631905739,44.113513053332866,42.2132988369722,0.0,1.5921375199647738,0.41552511415524357,24.38575928718305,14.820318252647397,3.4084708053955675,0.817555473190853,-3.1734233082637777,0.661573124734209,0.7173100546568754,-0.21325434057368947,15.5,1.0,1.0,3.4084708053955675,0.817555473190853,3.1734233082637777,0.21325434057368947,-0.20721916709662536,3.4084708053955675,-14.820318252647397,momentum
gold_spot,XAUUSD,momentum,2024-02-16 13:45:00+00:00,2024-02-16 15:30:00+00:00,long,7,5.474440988954923,8.404999999999973,1,0.0007670753112496777,1.3931592486822262,0.004340470228206136,0.556044080822427,1.3538693598361808,-0.0006596822298202193,-2.0026387289193033,0.488104374520331,0.488104374520331,0.488104374520331,0.4825493171471911,8.48684902868325,8.48684902868325,8.584548748890567,0.17550058892814346,0.12349992404678727,0.04690456880237923,36.61380352043557,41.27955393996118,53.9931249705987,0.0,4.061051703287746,0.5172413793103385,27.724831471475,32.501991625532156,2.095948963090654,-0.33157867045588263,-4.1515881560196135,0.18888612573429311,1.9605077188285926,1.9116578587248605,13.75,4.0,1.0,2.095948963090654,0.33157867045588263,4.1515881560196135,1.9116578587248605,-0.2510392256355779,2.095948963090654,-32.501991625532156,momentum
gold_spot,XAUUSD,momentum,2024-02-29 10:15:00+00:00,2024-02-29 13:30:00+00:00,long,13,9.123344451389896,11.315000000000055,1,0.000610165287404726,0.9215567531287102,0.0022907201809515155,0.22069652128721767,1.3579419486130948,-0.2393480255966305,-2.9573921023866134,0.012149532710290263,0.012149532710290263,0.012149532710290263,0.6009705113848425,4.3137333464372025,4.3137333464372025,10.800459472060707,0.25984251968501926,0.046655656482240265,0.11636579371133139,49.00039199896582,57.42810705659612,48.39090991774367,0.0,1.3545929013111384,0.03869047619050721,23.29350680023522,16.47843425858178,1.9669339466207374,-0.4590131173831435,-2.7210581111895826,0.05240984439600868,0.036283738428034215,-1.2658993184870955,10.25,3.0,1.0,1.9669339466207374,0.4590131173831435,2.7210581111895826,1.2658993184870955,-0.37024160626911284,1.9669339466207374,-16.47843425858178,momentum
gold_spot,XAUUSD,momentum,2024-03-18 17:30:00+00:00,2024-03-19 08:15:00+00:00,short,55,3.6578698954125457,7.855000000000018,1,0.000994825178180487,1.1336508721586025,0.002588723887328908,0.10238125105620478,0.7651355514477375,0.49158912923441306,-0.03364348306234879,0.5890207715133425,0.44086618545249884,0.7037363930567613,0.7118741058655029,4.193395086975213,7.914130983136305,8.137654541353756,0.05562913907285933,0.23710921640276306,0.02795133179875254,61.91349392781337,47.453186876092126,52.41589826534164,0.0,1.2945739413425745,0.04856115107905608,23.025374748576777,0.3811865212879155,-0.556992114412141,-0.3089384077905829,1.8156202076566819,0.06286600074854584,0.18394126144976267,-1.047766679144266,17.5,0.0,0.0,0.556992114412141,0.3089384077905829,1.8156202076566819,1.047766679144266,-0.021400038143624726,0.556992114412141,-0.3811865212879155,momentum
gold_spot,XAUUSD,momentum,2024-04-04 19:45:00+00:00,2024-04-05 14:00:00+00:00,long,69,5.323160360490266,18.98999999999978,1,0.0015612656811898017,1.5094164991573398,0.008628814391578851,0.6314760518164981,1.220517374898103,0.08986119491808092,-1.6405552203276408,0.20192864030858595,0.20192864030858595,0.20192864030858595,0.20192864030858595,7.267137037688926,7.267137037688926,7.267137037688926,0.04377823408624301,0.08349992311240902,0.07867785579722451,48.228957054177336,52.134934478841615,54.17481853356906,0.0,1.9467798158823693,0.7537796976241906,19.71771696399292,14.701642963880651,2.5279949819167125,0.260425621087378,-2.427230828429664,1.4674431009566897,0.0644721897268495,-0.41486452519882994,19.75,3.0,0.0,2.5279949819167125,0.260425621087378,2.427230828429664,0.41486452519882994,-0.22946811718114432,2.5279949819167125,-14.701642963880651,momentum
