dataset,stage,split,keep_rate_pct,trades,wins,losses,win_rate_pct,avg_pnl_points,profit_factor
momentum,0,in_sample_all,100.0,1087,645,442,59.337626494940196,0.8422861085556532,1.1801295148456108
momentum,1,in_sample_all,29.990800367985283,326,225,101,69.01840490797547,0.8526993865030592,1.2934987462056189
mean_reversion,0,in_sample_all,100.0,831,393,438,47.292418772563174,0.08355595667869838,1.0126322626186175
mean_reversion,1,in_sample_all,30.084235860409148,250,144,106,57.599999999999994,0.66058,1.1291688827707036
naked_long_4bar,0,in_sample_all,100.0,69751,36262,33489,51.98778512136026,0.14102744046680338,1.0838169140551577
naked_long_4bar,1,in_sample_all,10.001290304081662,6976,3849,3127,55.174885321100916,0.24607110091742848,1.1427568127276517
naked_short_4bar,0,in_sample_all,100.0,69751,33437,36314,47.93766397614371,-0.14102744046680338,0.9226650618123754
naked_short_4bar,1,in_sample_all,10.001290304081662,6976,3567,3409,51.132454128440365,-0.09693807339449291,0.9487376968653172
