symbol,phase,trades,wins,losses,win_rate_pct,profit_factor_r,total_r,avg_r,max_drawdown_r,trades_per_day,trades_per_week,max_concurrent_positions
ZN,mean_reversion,20,16,4,80.0,1.5244755244755244,0.49019607843137253,0.024509803921568627,0.5751633986928104,0.01658575352879183,0.11610027470154283,1
YM,mean_reversion,47,37,10,78.72340425531915,0.9566600397614314,-0.433399602385687,-0.009221268135865681,4.560636182902584,0.031780019158167576,0.22246013410717302,1
ES,mean_reversion,97,73,24,75.25773195876289,0.7451831057802729,-3.9701789264413545,-0.04092967965403458,6.407554671968194,0.06269567149407179,0.43886970045850254,1
