market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,chosen_size_multiplier
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,131070,131071,131089,2024-05-20 15:15:00+00:00,2024-05-20 15:30:00+00:00,2024-05-20 20:00:00+00:00,0.6684,0.66735,-20.999999999999908,-23.999999999999908,-0.6666666666666492,49.500000000002316,33.0000000000008,3.0,session_close,18,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,131155,131156,131158,2024-05-21 13:30:00+00:00,2024-05-21 13:45:00+00:00,2024-05-21 14:15:00+00:00,0.668,0.66845,-8.999999999999009,-11.999999999999009,-1.0,13.499999999997403,8.999999999999009,3.0,sl,2,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,131616,131617,131641,2024-05-28 13:45:00+00:00,2024-05-28 14:00:00+00:00,2024-05-28 20:00:00+00:00,0.66665,0.6654,24.999999999999467,21.999999999999467,0.5789473684210298,52.50000000000199,35.00000000000058,3.0,session_close,24,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,132078,132079,132101,2024-06-04 14:15:00+00:00,2024-06-04 14:30:00+00:00,2024-06-04 20:00:00+00:00,0.66455,0.66515,12.000000000000899,9.000000000000899,0.3461538461538849,34.49999999999953,22.999999999999687,3.0,session_close,22,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,132261,132262,132265,2024-06-06 14:00:00+00:00,2024-06-06 14:15:00+00:00,2024-06-06 15:00:00+00:00,0.6647,0.6657,-20.000000000000018,-23.000000000000018,-1.0,29.999999999998916,20.000000000000018,3.0,sl,3,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,132537,132538,132555,2024-06-11 14:00:00+00:00,2024-06-11 14:15:00+00:00,2024-06-11 18:30:00+00:00,0.65985,0.6611250000000001,25.500000000000522,22.500000000000522,1.1250000000000064,25.500000000000522,17.000000000000348,3.0,tp,17,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,132904,132905,132923,2024-06-17 15:15:00+00:00,2024-06-17 15:30:00+00:00,2024-06-17 20:00:00+00:00,0.6616,0.6629,26.000000000001577,23.000000000001577,0.7187500000000712,43.499999999998536,28.999999999999027,3.0,session_close,18,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,133086,133087,133107,2024-06-19 14:45:00+00:00,2024-06-19 15:00:00+00:00,2024-06-19 20:00:00+00:00,0.66915,0.66875,-8.00000000000134,-11.00000000000134,-0.47826086956527525,29.999999999998916,20.000000000000018,3.0,session_close,20,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,133729,133730,133730,2024-06-28 14:30:00+00:00,2024-06-28 14:45:00+00:00,2024-06-28 14:45:00+00:00,0.668,0.66925,-24.999999999999467,-27.999999999999467,-1.0,37.4999999999992,24.999999999999467,3.0,sl,1,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,134096,134097,134101,2024-07-04 14:15:00+00:00,2024-07-04 14:30:00+00:00,2024-07-04 15:30:00+00:00,0.674,0.67445,-8.999999999999009,-11.999999999999009,-1.0,13.499999999997403,8.999999999999009,3.0,sl,4,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,134283,134284,134300,2024-07-08 15:00:00+00:00,2024-07-08 15:15:00+00:00,2024-07-08 19:15:00+00:00,0.6756,0.6744749999999999,22.500000000000853,19.500000000000853,1.0833333333333466,22.500000000000853,15.000000000000568,3.0,tp,16,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,134461,134462,134463,2024-07-10 13:30:00+00:00,2024-07-10 13:45:00+00:00,2024-07-10 14:00:00+00:00,0.67565,0.67595,-6.00000000000156,-9.00000000000156,-1.0,9.00000000000345,6.00000000000156,3.0,sl,1,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,134560,134561,134579,2024-07-11 15:15:00+00:00,2024-07-11 15:30:00+00:00,2024-07-11 20:00:00+00:00,0.6781,0.6767,28.000000000001357,25.000000000001357,0.40322580645163375,88.50000000000024,59.00000000000016,3.0,session_close,18,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,134645,134646,134647,2024-07-12 13:30:00+00:00,2024-07-12 13:45:00+00:00,2024-07-12 14:00:00+00:00,0.67875,0.67955,-16.00000000000046,-19.00000000000046,-1.0,24.000000000001798,16.00000000000046,3.0,sl,1,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,134743,134744,134747,2024-07-15 15:00:00+00:00,2024-07-15 15:15:00+00:00,2024-07-15 16:00:00+00:00,0.6791,0.67815,-19.000000000000128,-22.000000000000128,-1.0,28.500000000000192,19.000000000000128,3.0,sl,3,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,135108,135109,135125,2024-07-19 14:15:00+00:00,2024-07-19 14:30:00+00:00,2024-07-19 18:30:00+00:00,0.67005,0.66935,-14.000000000000679,-17.00000000000068,-1.0,20.999999999999908,14.000000000000679,3.0,sl,16,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,135297,135298,135308,2024-07-23 15:30:00+00:00,2024-07-23 15:45:00+00:00,2024-07-23 18:15:00+00:00,0.6628,0.662,-15.999999999998238,-18.999999999998238,-1.0,23.999999999997357,15.999999999998238,3.0,sl,10,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,135382,135383,135403,2024-07-24 13:45:00+00:00,2024-07-24 14:00:00+00:00,2024-07-24 19:00:00+00:00,0.6606,0.6587999999999998,36.00000000000269,33.00000000000269,1.2222222222222405,36.00000000000269,24.000000000001798,3.0,tp,20,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,136301,136302,136315,2024-08-07 13:30:00+00:00,2024-08-07 13:45:00+00:00,2024-08-07 17:00:00+00:00,0.65675,0.6546499999999998,42.00000000000203,39.00000000000203,1.2580645161290427,42.00000000000203,28.000000000001357,3.0,tp,13,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,136393,136394,136395,2024-08-08 13:30:00+00:00,2024-08-08 13:45:00+00:00,2024-08-08 14:00:00+00:00,0.6556,0.65715,-31.000000000001027,-34.00000000000102,-1.0,46.50000000000265,31.000000000001027,3.0,sl,1,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,136950,136951,136959,2024-08-16 14:45:00+00:00,2024-08-16 15:00:00+00:00,2024-08-16 17:00:00+00:00,0.66425,0.66635,41.999999999999815,38.999999999999815,1.2580645161290613,41.999999999999815,27.999999999999137,3.0,tp,8,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,137137,137138,137148,2024-08-20 15:30:00+00:00,2024-08-20 15:45:00+00:00,2024-08-20 18:15:00+00:00,0.6742,0.6753,-21.999999999999797,-24.999999999999797,-1.0,33.0000000000008,21.999999999999797,3.0,sl,10,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,137593,137594,137615,2024-08-27 14:30:00+00:00,2024-08-27 14:45:00+00:00,2024-08-27 20:00:00+00:00,0.67875,0.6796,17.000000000000348,14.000000000000348,0.46666666666669,40.49999999999887,26.999999999999247,3.0,session_close,21,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,137685,137686,137692,2024-08-28 14:30:00+00:00,2024-08-28 14:45:00+00:00,2024-08-28 16:15:00+00:00,0.67925,0.6774,-37.00000000000036,-40.00000000000036,-1.0,55.500000000001656,37.00000000000036,3.0,sl,6,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,138238,138239,138259,2024-09-05 14:45:00+00:00,2024-09-05 15:00:00+00:00,2024-09-05 20:00:00+00:00,0.6724,0.674,-32.00000000000092,-35.00000000000092,-0.89743589743591,54.00000000000071,36.000000000000476,3.0,session_close,20,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,138422,138423,138428,2024-09-09 14:45:00+00:00,2024-09-09 15:00:00+00:00,2024-09-09 16:15:00+00:00,0.6654,0.6669,-30.000000000001137,-33.00000000000114,-1.0,45.000000000001705,30.000000000001137,3.0,sl,5,1
futures,6A,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,138696,138697,138698,2024-09-12 14:15:00+00:00,2024-09-12 14:30:00+00:00,2024-09-12 14:45:00+00:00,0.6682,0.66905,-17.000000000000348,-20.000000000000348,-1.0,25.500000000000522,17.000000000000348,3.0,sl,1,1
