market,symbol,phase,before_trades,before_win_rate_pct,before_profit_factor,before_avg_pips,after_trades,after_win_rate_pct,after_profit_factor,after_avg_pips
forex,AUDUSD,mean_reversion,332.0,72.59036144578313,1.3385455770286812,3.3579915662650364,55.0,78.18181818181819,1.4320916905443755,2.8035090909087996
forex,AUDUSD,momentum,439.0,71.75398633257403,1.1352295418954035,1.116776537585417,109.0,84.40366972477065,1.2943007214156677,2.4857559633023896
forex,EURUSD,mean_reversion,299.0,71.90635451505017,1.140278552065206,1.9608361204012281,55.0,81.81818181818183,1.6472953133821815,5.210727272726585
forex,EURUSD,momentum,361.0,67.31301939058172,1.1783693387828096,2.0563711911357663,71.0,74.64788732394366,1.0403130137983927,0.5456338028166059
forex,GBPUSD,mean_reversion,321.0,73.20872274143302,1.117686035596618,1.9919003115264418,55.0,80.0,1.0820227437696304,1.232727272726835
forex,GBPUSD,momentum,472.0,69.91525423728814,1.2637441819704347,2.86927966101692,92.0,77.17391304347827,0.839755154639149,-2.7032608695656504
forex,NZDUSD,mean_reversion,328.0,67.98780487804879,0.9993596903406096,-0.006799085365853811,69.0,79.71014492753623,0.6620758691950462,-4.023995652174195
forex,NZDUSD,momentum,490.0,69.79591836734694,1.132274613326185,0.9858697959183786,96.0,79.16666666666666,0.9742093026527784,-0.23292916666700325
forex,USDCAD,mean_reversion,259.0,62.16216216216216,0.9559731072199099,-0.6776061776061587,44.0,59.09090909090909,0.48749374687342345,-9.313636363636567
forex,USDCAD,momentum,324.0,69.1358024691358,1.0150324408297535,0.20308641975308114,68.0,82.35294117647058,1.9918953766807483,7.919117647058399
forex,USDCHF,mean_reversion,283.0,68.19787985865725,0.9459344786968509,-0.7060233215547383,53.0,83.01886792452831,1.319605325306595,2.767907547169547
forex,USDCHF,momentum,377.0,71.3527851458886,1.3688757522310337,3.3626336870026634,83.0,81.92771084337349,2.4150571134903878,10.536167469879228
forex,USDJPY,mean_reversion,303.0,68.97689768976898,1.003315121001228,0.09505066006598853,49.0,81.63265306122449,1.1281005030034146,2.323173469387964
forex,USDJPY,momentum,377.0,67.63925729442971,0.9540156189319268,-1.1736169230769011,70.0,77.14285714285715,0.8687432674542233,-3.8178801428573
futures,6A,mean_reversion,332.0,71.98795180722891,1.206257078142697,4.388554216867496,59.0,77.96610169491525,1.1422637590861628,2.322033898304629
futures,6A,momentum,404.0,69.55445544554455,1.134393063583807,2.30198019801967,91.0,75.82417582417582,1.1049608355091105,2.208791208790598
futures,6B,mean_reversion,311.0,74.27652733118971,1.120667284522707,2.09324758842445,54.0,87.03703703703704,1.764900662251632,8.555555555555243
futures,6B,momentum,448.0,72.09821428571429,1.1754649633665206,2.084821428571402,98.0,81.63265306122449,0.7339825730394486,-5.295918367347285
futures,6C,mean_reversion,294.0,64.96598639455783,0.8822488696677814,-2.0374149659863816,50.0,70.0,0.8065902578796262,-2.7000000000003954
futures,6C,momentum,479.0,69.10229645093946,1.249716745977785,2.300626304801607,74.0,83.78378378378379,2.63733333333325,8.297297297296646
futures,6E,mean_reversion,295.0,69.49152542372882,1.073367065317388,2.1627118644067975,53.0,81.13207547169812,1.2127838519764194,4.7735849056596535
futures,6E,momentum,375.0,68.0,0.7910572116274774,-6.018666666666635,79.0,79.74683544303798,0.8582507539853348,-4.164556962025773
futures,6J,mean_reversion,307.0,71.00977198697068,1.1616646658663494,3.9478827361564184,57.0,80.7017543859649,1.3680412371136874,6.263157894740416
futures,6J,momentum,398.0,72.61306532663316,1.0023742227247034,0.05276381909548203,64.0,81.25,1.5466794995190676,8.875000000003158
futures,CL,mean_reversion,307.0,70.03257328990227,0.989654922954496,-0.4657980456026014,45.0,75.55555555555556,0.7290589451913142,-11.644444444444405
futures,CL,momentum,393.0,66.66666666666666,0.8595282821957848,-5.137404580152631,74.0,81.08108108108108,1.8184855233853097,19.86486486486503
futures,ES,mean_reversion,266.0,75.56390977443608,1.3108705258506408,21.157894736842106,35.0,77.14285714285715,1.542353610005685,27.257142857142856
futures,ES,momentum,364.0,71.42857142857143,1.09472049689441,4.8598901098901095,81.0,82.71604938271605,1.437088903034161,25.432098765432098
futures,GC,mean_reversion,281.0,70.46263345195729,0.7768189350592505,-25.4021352313167,46.0,78.26086956521739,0.6287644787644766,-41.804347826087096
futures,GC,momentum,358.0,67.87709497206704,0.7655582717285648,-22.23463687150852,74.0,72.97297297297297,0.45333617868829146,-103.85135135135133
futures,HG,mean_reversion,305.0,72.45901639344262,0.9382239382239375,-3.0950819672131415,44.0,84.0909090909091,0.47859671709043744,-36.818181818182076
futures,HG,momentum,389.0,66.32390745501286,0.8249901198788051,-6.830334190231318,84.0,73.80952380952381,0.7943999999999972,-9.17857142857155
futures,NG,mean_reversion,280.0,73.21428571428571,1.0841467519353754,3.571428571428586,39.0,82.05128205128204,0.7861328124999992,-11.230769230769269
futures,NG,momentum,361.0,67.86703601108033,0.8065451216721332,-7.024930747922453,55.0,67.27272727272727,0.6632620491541643,-19.181818181818226
futures,NQ,mean_reversion,265.0,72.45283018867924,1.1925802417674032,66.24905660377358,29.0,86.20689655172413,1.1827891364052487,41.310344827586206
futures,NQ,momentum,354.0,65.5367231638418,0.9594005533040008,-11.234463276836157,62.0,83.87096774193549,3.321802784555763,260.9032258064516
