market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,strategy,variant_id,period,source
futures,GC,,long,7249,7250,7259,2024-02-20 06:30:00+00:00,2024-02-20 06:45:00+00:00,2024-02-20 09:00:00+00:00,2031.2,2035.493269915077,42.93269915077021,39.93269915077021,1.6321478211422826,42.93269915077021,21.466349575385102,3.0,tp,9,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ZN,mean_reversion,short,7362,7363,7371,2024-02-21 15:15:00+00:00,2024-02-21 15:30:00+00:00,2024-02-21 17:30:00+00:00,109.921875,109.71875,13.0,10.0,0.1886792452830188,15.0,50.0,3.0,signal,8,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,ZN,mean_reversion,short,7636,7637,7645,2024-02-26 14:45:00+00:00,2024-02-26 15:00:00+00:00,2024-02-26 17:00:00+00:00,109.84375,109.609375,15.0,12.0,0.2264150943396226,15.0,50.0,3.0,tp,8,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,long,7712,7713,7717,2024-02-27 07:15:00+00:00,2024-02-27 07:30:00+00:00,2024-02-27 08:30:00+00:00,2044.3,2048.594455477005,42.94455477005148,39.94455477005148,1.6322369243204566,42.94455477005148,21.47227738502574,3.0,tp,4,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,YM,mean_reversion,long,8095,8096,8109,2024-03-04 14:30:00+00:00,2024-03-04 14:45:00+00:00,2024-03-04 18:00:00+00:00,39034.0,39082.0,48.0,45.0,0.0894632206759443,500.0,500.0,3.0,signal,13,mean_reversion,legacy_YM_mean_reversion,train,core
futures,GC,,long,8741,8742,8753,2024-03-13 10:30:00+00:00,2024-03-13 10:45:00+00:00,2024-03-13 13:30:00+00:00,2168.3,2175.665044571449,73.65044571448416,70.65044571448416,1.774012564041098,73.65044571448416,36.82522285724208,3.0,tp,11,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,YM,mean_reversion,short,9031,9032,9048,2024-03-18 17:30:00+00:00,2024-03-18 17:45:00+00:00,2024-03-18 22:45:00+00:00,39234.0,39230.0,4.0,1.0,0.0019880715705765,500.0,500.0,3.0,signal,16,mean_reversion,legacy_YM_mean_reversion,train,core
futures,YM,mean_reversion,long,9104,9105,9114,2024-03-19 12:45:00+00:00,2024-03-19 13:00:00+00:00,2024-03-19 15:15:00+00:00,39190.0,39389.0,199.0,196.0,0.3896620278330019,500.0,500.0,3.0,signal,9,mean_reversion,legacy_YM_mean_reversion,train,core
futures,ZN,mean_reversion,long,9103,9104,9128,2024-03-19 12:45:00+00:00,2024-03-19 13:00:00+00:00,2024-03-19 19:00:00+00:00,110.078125,110.125,3.0,0.0,0.0,15.0,50.0,3.0,signal,24,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,short,9370,9371,9392,2024-03-22 06:45:00+00:00,2024-03-22 07:00:00+00:00,2024-03-22 12:15:00+00:00,2171.4,2175.8672667590085,-44.672667590082725,-47.672667590082725,-1.0,89.34533518016545,44.672667590082725,3.0,sl,21,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
