phase,trades,wins,losses,win_rate_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,excluded_symbol_phases
momentum,1154,920,234,79.72270363951473,1.4607006082768477,0.7496119794217782,1.5805963760878872,11.06417463261521,452,2.5530973451327434,105,10.99047619047619,9
mean_reversion,761,629,132,82.65440210249672,1.4318356367200373,0.6283023774771826,1.043061107938321,7.3014277555682465,329,2.31306990881459,105,7.247619047619048,8
