daily_profit_lock,daily_loss_stop,selected_variants,basket_trades,basket_wins,basket_losses,basket_win_rate_pct,basket_profit_factor_dollars,basket_total_pnl,basket_avg_pnl,challenge_7d_starts,challenge_7d_pass_rate_pct,challenge_7d_fail_rate_pct,challenge_7d_incomplete_rate_pct,challenge_7d_median_pass_days,challenge_7d_avg_pass_win_rate_pct,challenge_7d_p50_final_pnl,challenge_14d_starts,challenge_14d_pass_rate_pct,challenge_14d_fail_rate_pct,challenge_14d_incomplete_rate_pct,challenge_14d_median_pass_days,challenge_14d_avg_pass_win_rate_pct,challenge_14d_p50_final_pnl,challenge_30d_starts,challenge_30d_pass_rate_pct,challenge_30d_fail_rate_pct,challenge_30d_incomplete_rate_pct,challenge_30d_median_pass_days,challenge_30d_avg_pass_win_rate_pct,challenge_30d_p50_final_pnl,challenge_eventual_starts,challenge_eventual_pass_rate_pct,challenge_eventual_fail_rate_pct,challenge_eventual_incomplete_rate_pct,challenge_eventual_median_pass_days,challenge_eventual_avg_pass_win_rate_pct,challenge_eventual_p50_final_pnl
2900.0,800.0,10,246,135,111,54.87804878048781,1.95060799478434,87298.85316096661,354.8733868331976,166,11.44578313253012,1.2048192771084338,87.34939759036145,4.708333333333333,87.4436090225564,1558.5431822065075,166,27.10843373493976,3.0120481927710845,69.87951807228916,7.041666666666667,79.15668282334948,2046.249999999971,166,37.95180722891566,7.83132530120482,54.21686746987952,9.989583333333334,75.22789872229649,3757.8699999999735,166,75.90361445783132,18.072289156626507,6.024096385542169,31.125,64.29423246840322,6534.304121630834
2900.0,1200.0,10,246,135,111,54.87804878048781,1.95060799478434,87298.85316096661,354.8733868331976,166,11.44578313253012,2.4096385542168677,86.14457831325302,4.708333333333333,87.02589807852966,1527.1879567924188,166,27.10843373493976,3.0120481927710845,69.87951807228916,7.03125,78.55495122161788,2046.249999999971,166,38.55421686746988,5.421686746987952,56.024096385542165,9.989583333333334,74.25298499928434,3341.364362127919,166,79.51807228915662,13.855421686746988,6.626506024096386,34.49479166666667,63.74090257358531,6631.063229949519
2900.0,1000.0,12,280,153,127,54.64285714285714,1.9291772403679945,95818.85316096667,342.2101898605952,173,12.716763005780345,4.046242774566474,83.23699421965318,4.067708333333333,86.36855568673751,1538.4999999999272,173,26.589595375722542,4.624277456647398,68.78612716763006,7.010416666666667,80.60210622710622,1996.4999999999418,173,39.30635838150289,8.670520231213873,52.02312138728323,9.84375,76.09502390934506,3238.9887242558325,173,64.16184971098265,27.74566473988439,8.092485549132949,17.020833333333332,67.82275192616106,6363.677425288217
2500.0,1200.0,10,246,135,111,54.87804878048781,1.95060799478434,87298.85316096661,354.8733868331976,166,12.048192771084338,2.4096385542168677,85.54216867469879,4.411458333333333,87.81349206349208,1465.1615624999467,166,26.506024096385545,3.0120481927710845,70.48192771084338,7.010416666666667,80.06251324433141,1956.0630930548796,166,38.55421686746988,5.421686746987952,56.024096385542165,9.994791666666668,75.78262289610973,3195.306099809801,166,76.50602409638554,13.855421686746988,9.63855421686747,29.0625,64.75032393544281,6643.512791024572
2500.0,1000.0,12,280,153,127,54.64285714285714,1.9291772403679945,95818.85316096667,342.2101898605952,173,12.716763005780345,4.046242774566474,83.23699421965318,4.067708333333333,87.96176046176046,1538.4999999999272,173,26.011560693641616,4.624277456647398,69.36416184971098,7.010416666666667,82.24919833253165,1996.4999999999418,173,38.15028901734104,8.670520231213873,53.179190751445084,9.505208333333334,77.28957244296394,3238.9887242558325,173,64.16184971098265,27.74566473988439,8.092485549132949,17.979166666666668,68.30499733487706,6355.626993261612
2500.0,800.0,9,223,118,105,52.91479820627802,1.8531317409433732,74991.05741582072,336.28276868081036,157,9.554140127388536,1.2738853503184715,89.171974522293,4.020833333333333,89.14285714285714,1428.2400000000198,157,25.477707006369428,2.547770700636943,71.97452229299363,7.979166666666666,80.69196081696082,1698.5448044181976,157,38.853503184713375,6.369426751592357,54.77707006369427,11.0,76.68706521165537,3390.218826540993,157,62.42038216560509,29.29936305732484,8.280254777070063,18.645833333333332,68.40661219458242,6370.439314397969
2000.0,1000.0,12,276,149,127,53.985507246376805,1.8770593892275786,88938.54253596661,322.2410961448066,174,10.344827586206897,4.597701149425287,85.0574712643678,5.21875,87.581569664903,1393.625,174,24.71264367816092,4.597701149425287,70.6896551724138,7.958333333333333,79.58387220015126,1567.760653603218,174,34.48275862068966,8.620689655172415,56.896551724137936,10.0,76.02277569924628,2918.114062499968,174,63.2183908045977,28.735632183908045,8.045977011494253,21.984375,65.96439951223506,6314.532265424699
2000.0,800.0,8,201,108,93,53.73134328358209,1.8807849704579231,68967.90816096653,343.12392119883845,150,6.666666666666667,0.6666666666666667,92.66666666666666,5.864583333333334,91.57142857142858,1465.1615624999467,150,24.666666666666668,1.3333333333333335,74.0,8.09375,79.46944196944197,1873.9557692924573,150,36.0,4.666666666666667,59.333333333333336,10.96875,76.17312728423839,2963.456611729809,150,74.66666666666667,16.666666666666664,8.666666666666668,34.630208333333336,65.00958049615257,6494.507558021527
1500.0,800.0,8,201,108,93,53.73134328358209,1.8807849704579231,68967.90816096653,343.12392119883845,150,6.666666666666667,0.6666666666666667,92.66666666666666,5.859375,93.47619047619048,1479.8623686747742,150,24.0,1.3333333333333335,74.66666666666667,8.557291666666668,79.99592999592998,2025.89519397205,150,38.0,4.666666666666667,57.333333333333336,11.083333333333334,75.65661434082486,2963.456611729809,150,76.0,15.333333333333332,8.666666666666668,30.630208333333336,65.61486598874849,6577.64554321445
2000.0,1200.0,7,213,116,97,54.460093896713616,1.8877707462334106,71506.34812499979,335.71055457746377,162,7.4074074074074066,0.0,92.5925925925926,6.713541666666666,90.42989417989418,1276.2499999999854,162,22.839506172839506,3.0864197530864197,74.07407407407408,8.09375,79.03294153294152,1998.6299999999756,162,37.03703703703704,11.728395061728394,51.23456790123457,11.385416666666668,74.72633847633847,3226.914062500058,162,66.0493827160494,24.691358024691358,9.25925925925926,21.96875,67.51845575780318,6250.961562499986
