scope,trades,wins,losses,win_rate_pct,profit_factor_dollars,total_pnl,avg_pnl,daily_profit_lock,daily_loss_stop,starts,pass_rate_pct,fail_rate_pct,incomplete_rate_pct,median_pass_days,avg_pass_win_rate_pct,p50_final_pnl
risk_gated_selected_trades,246.0,135.0,111.0,54.87804878048781,1.95060799478434,87298.85316096661,354.8733868331976,,,,,,,,,
challenge_7d,,,,,,,,2900.0,800.0,166.0,11.44578313253012,1.2048192771084338,87.34939759036145,4.708333333333333,87.4436090225564,1558.5431822065075
challenge_14d,,,,,,,,2900.0,800.0,166.0,27.10843373493976,3.0120481927710845,69.87951807228916,7.041666666666667,79.15668282334948,2046.249999999971
challenge_30d,,,,,,,,2900.0,800.0,166.0,37.95180722891566,7.83132530120482,54.21686746987952,9.989583333333334,75.22789872229649,3757.8699999999735
challenge_eventual,,,,,,,,2900.0,800.0,166.0,75.90361445783132,18.072289156626507,6.024096385542169,31.125,64.29423246840322,6534.304121630834
