market,symbol,phase,pip_or_tick_size,baseline_trades,baseline_wins,baseline_losses,baseline_win_rate_pct,baseline_profit_factor,baseline_avg_pips,best_unit_size_pips_or_ticks,unit_trades,unit_win_rate_pct,unit_profit_factor,unit_avg_pips,win_rate_delta_pct,profit_factor_delta,avg_pips_delta
forex,AUDUSD,mean_reversion,0.0001,56,43,13,76.78571428571429,1.3390093365969777,2.3104660714285834,100,56,76.78571428571429,1.6012239029224564,3.426539285714285,0.0,0.2622145663254787,1.1160732142857017
forex,AUDUSD,momentum,0.0001,109,92,17,84.40366972477065,1.2943007214157067,2.485755963302743,50,109,82.56880733944955,1.3541032971234868,2.801965137614649,-1.8348623853211024,0.059802575707780026,0.316209174311906
forex,EURUSD,mean_reversion,0.0001,55,45,10,81.81818181818183,1.6472953133822226,5.210727272726949,200,55,81.81818181818183,1.6472953133822226,5.210727272726949,0.0,0.0,0.0
forex,EURUSD,momentum,0.0001,71,53,18,74.64788732394366,1.0403130137984087,0.5456338028168297,200,71,74.64788732394366,1.0403130137984087,0.5456338028168297,0.0,0.0,0.0
forex,GBPUSD,mean_reversion,0.0001,55,44,11,80.0,1.082022743769651,1.2327272727271525,50,55,78.18181818181819,1.6081941129673638,5.5599999999998335,-1.818181818181813,0.5261713691977128,4.327272727272681
forex,GBPUSD,momentum,0.0001,93,72,21,77.41935483870968,0.8623711340206115,-2.2967741935485133,100,93,76.34408602150538,1.314935707220564,3.423655913978392,-1.0752688172043037,0.4525645731999526,5.720430107526905
forex,NZDUSD,mean_reversion,0.0001,69,55,14,79.71014492753623,0.6620758691950699,-4.023995652173948,5,69,56.52173913043478,1.25156047937495,0.5401608695652298,-23.188405797101453,0.5894846101798801,4.564156521739178
forex,NZDUSD,momentum,0.0001,96,76,20,79.16666666666666,0.9742093026528127,-0.23292916666669652,20,96,68.75,1.405569461679087,2.140778124999981,-10.416666666666657,0.43136015902627434,2.3737072916666775
forex,USDCAD,mean_reversion,0.0001,44,26,18,59.09090909090909,0.48749374687343117,-9.31363636363652,10,44,50.0,0.95273631840796,-0.21590909090909197,-9.090909090909093,0.46524257153452886,9.097727272727429
forex,USDCAD,momentum,0.0001,68,56,12,82.35294117647058,1.9918953766807803,7.919117647058753,200,68,82.35294117647058,2.3290975662287217,9.074999999999928,0.0,0.33720218954794134,1.155882352941175
forex,USDCHF,mean_reversion,0.0001,53,44,9,83.01886792452831,1.3196053253066278,2.7679075471698664,50,53,81.13207547169812,1.612160777869083,4.216979245283074,-1.8867924528301927,0.2925554525624552,1.4490716981132077
forex,USDCHF,momentum,0.0001,83,68,15,81.92771084337349,2.4150571134904095,10.536167469879505,200,83,81.92771084337349,2.2075188190117907,9.836160240963824,0.0,-0.20753829447861882,-0.7000072289156805
forex,USDJPY,mean_reversion,0.01,49,40,9,81.63265306122449,1.1281005030034146,2.323173469387967,9,49,57.14285714285714,1.2343804232804205,0.9040387755101931,-24.48979591836735,0.10627992027700595,-1.4191346938777738
forex,USDJPY,momentum,0.01,70,54,16,77.14285714285715,0.8687432674542234,-3.817880142857299,17,70,57.14285714285714,1.3333333333333333,2.4285714285714284,-20.000000000000014,0.4645900658791099,6.246451571428727
