market,symbol,phase,pip_or_tick_size,round_trip_cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,16,3.0,-0.2,0.4,225,166,59,73.77777777777777,1.047494426627148,0.4328533333332901
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,,-0.1,0.1,115,86,29,74.78260869565217,1.0464255618836238,0.6206852173913323
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,3.0,-0.1,0.25,177,131,46,74.01129943502825,1.0463456183762943,0.433367796610129
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,16,3.0,-0.1,0.25,85,64,21,75.29411764705883,1.0457858264001743,0.4416388235293569
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,16,2.0,-0.2,0.4,164,122,42,74.39024390243902,1.0448380209096142,0.3942298780487331
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,3.0,0.0,0.15,82,63,19,76.82926829268293,1.044502118281592,0.44567682926830815
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,0.75,-0.1,0.1,38,30,8,78.94736842105263,1.044175863733479,0.3533026315789679
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,16,,-0.1,0.1,111,82,29,73.87387387387388,1.0439570728537435,0.6035540540540884
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,,-0.1,0.1,115,85,30,73.91304347826086,1.0427248385478436,0.5719886956522059
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,24,3.0,-0.1,0.25,81,61,20,75.30864197530865,1.042353750638124,0.4114432098764914
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,24,0.75,,,65,51,14,78.46153846153847,1.0418486050497802,0.3265184615384248
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,24,1.0,-0.2,0.4,89,70,19,78.65168539325843,1.0401024332289364,0.3073921348314264
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,3.0,0.0,0.15,83,61,22,73.49397590361446,1.0398683237150659,0.34043614457832055
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,3.0,-0.05,0.15,143,111,32,77.62237762237763,1.0371535268970522,0.33844545454543895
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,16,,-0.1,0.25,118,84,34,71.1864406779661,1.0368471950438738,0.4520940677965827
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,0.75,-0.1,0.1,37,29,8,78.37837837837837,1.032658978652585,0.26825405405407526
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,10,3.0,-0.1,0.25,126,93,33,73.80952380952381,1.0323311461263864,0.31068650793646996
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,24,1.0,,,93,73,20,78.49462365591397,1.0322078025285826,0.2457838709677102
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,6,3.0,-0.1,0.25,127,93,34,73.22834645669292,1.0320097293909876,0.30527086614168697
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,24,1.5,,,134,102,32,76.11940298507463,1.0310728557227,0.24156492537314087
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,24,2.0,-0.1,0.25,107,81,26,75.70093457943925,1.0289573682339619,0.2652504672896838
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,3.0,-0.2,0.4,207,153,54,73.91304347826086,1.0284818364791108,0.2589845410627594
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,3.0,0.0,0.15,105,80,25,76.19047619047619,1.0259144528907889,0.2339276190476248
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,24,3.0,-0.2,0.4,147,105,42,71.42857142857143,1.0217317796439722,0.1922394557822891
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,0.75,-0.05,0.15,41,31,10,75.60975609756098,1.018768208164856,0.13124878048776908
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,3.0,-0.1,0.25,167,125,42,74.8502994011976,1.0177973531957707,0.18146107784433368
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,3.0,-0.2,0.4,239,176,63,73.64016736401673,1.015015046025637,0.144185774058585
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,6,1.0,,,74,55,19,74.32432432432432,1.01477630297348,0.11470135135129199
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,10,1.0,,,74,55,19,74.32432432432432,1.01477630297348,0.11470135135129199
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,16,0.75,-0.05,0.15,46,35,11,76.08695652173914,1.0119989942960548,0.08600652173911358
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,10,3.0,,,211,151,60,71.56398104265402,1.0082742649139473,0.07182606635067593
