daily_profit_lock,daily_loss_stop,selected_variants,basket_trades,basket_wins,basket_losses,basket_win_rate_pct,basket_profit_factor,basket_total,basket_avg,challenge_7d_starts,challenge_7d_pass_rate_pct,challenge_7d_fail_rate_pct,challenge_7d_incomplete_rate_pct,challenge_7d_median_pass_days,challenge_7d_avg_pass_win_rate_pct,challenge_7d_p50_final_pnl,challenge_14d_starts,challenge_14d_pass_rate_pct,challenge_14d_fail_rate_pct,challenge_14d_incomplete_rate_pct,challenge_14d_median_pass_days,challenge_14d_avg_pass_win_rate_pct,challenge_14d_p50_final_pnl,challenge_30d_starts,challenge_30d_pass_rate_pct,challenge_30d_fail_rate_pct,challenge_30d_incomplete_rate_pct,challenge_30d_median_pass_days,challenge_30d_avg_pass_win_rate_pct,challenge_30d_p50_final_pnl,challenge_eventual_starts,challenge_eventual_pass_rate_pct,challenge_eventual_fail_rate_pct,challenge_eventual_incomplete_rate_pct,challenge_eventual_median_pass_days,challenge_eventual_avg_pass_win_rate_pct,challenge_eventual_p50_final_pnl
1500.0,800.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
1500.0,1000.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
1500.0,1200.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2000.0,800.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2000.0,1000.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2000.0,1200.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2500.0,800.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2500.0,1000.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2500.0,1200.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2900.0,800.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2900.0,1000.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
2900.0,1200.0,1,14,7,7,50.0,2.367834838598851,3227.5250703286697,230.5375050234764,14,0.0,0.0,100.0,0.0,0.0,75.00000000001455,14,0.0,0.0,100.0,0.0,0.0,217.50000000001455,14,0.0,0.0,100.0,0.0,0.0,270.0000000000073,14,0.0,0.0,100.0,0.0,0.0,-424.58682967513596
