phase,trades,wins,losses,win_rate_pct,profit_factor_pips,avg_pnl_pips,gross_profit_pips,gross_loss_pips,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week
momentum,1895,1495,400,78.89182058047494,1.002329310086776,0.20679498153013692,168629.02628999937,168237.14979999978,2.595520045655586,18.1686403195891,513,3.6939571150097468,105,18.047619047619047
mean_reversion,1135,917,218,80.79295154185021,1.1978546580101224,11.502345286343502,79038.75829999961,65983.59639999972,1.5556824671616218,10.889777270131352,405,2.802469135802469,105,10.80952380952381
