market,symbol,phase,pip_or_tick_size,unit_size_pips_or_ticks,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
futures,NG,momentum,0.001,2,55,9,46,16.363636363636363,0.1956521739130435,-1.3454545454545455
futures,NG,momentum,0.001,3,55,11,44,20.0,0.25,-1.8
futures,NG,momentum,0.001,5,55,18,37,32.72727272727273,0.4864864864864865,-1.7272727272727273
futures,NG,momentum,0.001,7,55,19,36,34.54545454545455,0.5277777777777778,-2.1636363636363636
futures,NG,momentum,0.001,10,55,17,38,30.909090909090907,0.4473684210526316,-3.8181818181818183
futures,NG,momentum,0.001,13,55,20,35,36.36363636363637,0.5714285714285714,-3.5454545454545454
futures,NG,momentum,0.001,20,55,25,30,45.45454545454545,0.8333333333333334,-1.8181818181818181
futures,NG,momentum,0.001,26,55,29,26,52.72727272727272,1.0369822485207099,0.45454545454545275
futures,NG,momentum,0.001,50,55,25,30,45.45454545454545,0.6211579699785561,-9.636363636363637
futures,NG,momentum,0.001,100,55,35,20,63.63636363636363,0.8301886792452822,-5.400000000000029
futures,NG,momentum,0.001,200,55,36,19,65.45454545454545,0.5991641337386011,-19.18181818181822
futures,NQ,mean_reversion,0.25,5,29,2,27,6.896551724137931,0.07407407407407407,-4.310344827586207
futures,NQ,mean_reversion,0.25,10,29,4,25,13.793103448275861,0.16,-7.241379310344827
futures,NQ,mean_reversion,0.25,15,29,5,24,17.24137931034483,0.20833333333333334,-9.827586206896552
futures,NQ,mean_reversion,0.25,20,29,6,23,20.689655172413794,0.2608695652173913,-11.724137931034482
futures,NQ,mean_reversion,0.25,25,29,7,22,24.137931034482758,0.3181818181818182,-12.931034482758621
futures,NQ,mean_reversion,0.25,50,29,12,17,41.37931034482759,0.6670588235294118,-9.758620689655173
futures,NQ,mean_reversion,0.25,75,29,14,15,48.275862068965516,0.8817777777777778,-4.586206896551724
futures,NQ,mean_reversion,0.25,100,29,15,14,51.724137931034484,1.0121428571428572,0.5862068965517241
futures,NQ,mean_reversion,0.25,150,29,18,11,62.06896551724138,1.5133333333333334,29.20689655172414
futures,NQ,mean_reversion,0.25,200,29,17,12,58.620689655172406,1.18125,15.0
futures,NQ,momentum,0.25,5,62,2,60,3.225806451612903,0.03333333333333333,-4.67741935483871
futures,NQ,momentum,0.25,10,62,3,59,4.838709677419355,0.05084745762711865,-9.03225806451613
futures,NQ,momentum,0.25,18,62,8,54,12.903225806451612,0.14814814814814814,-13.35483870967742
futures,NQ,momentum,0.25,20,62,11,51,17.741935483870968,0.21568627450980393,-12.903225806451612
futures,NQ,momentum,0.25,30,62,16,46,25.806451612903224,0.34782608695652173,-14.516129032258064
futures,NQ,momentum,0.25,50,62,23,39,37.096774193548384,0.5897435897435898,-12.903225806451612
futures,NQ,momentum,0.25,60,62,25,37,40.32258064516129,0.6756756756756757,-11.612903225806452
futures,NQ,momentum,0.25,90,62,31,31,50.0,1.0,0.0
futures,NQ,momentum,0.25,100,62,32,30,51.61290322580645,1.0666666666666667,3.225806451612903
futures,NQ,momentum,0.25,121,62,32,30,51.61290322580645,1.0666666666666667,3.903225806451613
futures,NQ,momentum,0.25,181,62,32,30,51.61290322580645,1.051012891344383,4.467741935483871
futures,NQ,momentum,0.25,200,62,33,29,53.2258064516129,1.0663793103448276,6.209677419354839
futures,NQ,momentum,0.25,241,62,35,27,56.451612903225815,1.185646227140003,19.483870967741936
futures,RTY,mean_reversion,0.1,5,37,4,33,10.81081081081081,0.12121212121212122,-3.918918918918919
futures,RTY,mean_reversion,0.1,8,37,7,30,18.91891891891892,0.22083333333333333,-5.054054054054054
futures,RTY,mean_reversion,0.1,10,37,10,27,27.027027027027028,0.35185185185185186,-4.72972972972973
futures,RTY,mean_reversion,0.1,16,37,16,21,43.24324324324324,0.7291666666666666,-2.4594594594594597
