dataset,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,trades_per_month,active_days,trades_per_active_day,active_weeks,trades_per_active_week,base_trades,base_win_rate_pct
momentum,1151,1132,19,98.34926151172894,98.32388879789377,97.58288172127737,237.1976162742164,2.7407397362468147,1.0868316481095328,7.60782153676673,33.080438289333905,519,2.2177263969171483,151,7.622516556291391,13737,69.1198951736187
mean_reversion,1474,1474,0,100.0,99.9798936033735,99.9075606245837,inf,5.0996324857135225,1.4013904569493136,9.809733198645196,42.65482203339474,535,2.755140186915888,150,9.826666666666666,10173,70.34306497591665
naked_long_4bar,5663,3100,2563,54.74130319618576,54.74025687527501,53.444076110814066,1.206974699864583,0.09581979569248408,5.273476831149179,36.91433781804425,160.51145104810314,885,6.398870056497175,154,36.77272727272727,422553,48.81494155762709
naked_short_4bar,8928,4728,4200,52.956989247311824,52.956381866072945,51.92114470644324,1.1806683609699313,0.058576948361265535,8.313897430425547,58.19728201297883,253.0542530385776,774,11.534883720930232,154,57.97402597402598,422553,47.533682165314175
