market,symbol,phase,period_start,data_end,pip_or_tick_size,cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,win_rate_pct,profit_factor_r,total_r,avg_r,profit_factor_units,avg_units
futures,6E,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,6,2.0,0.0,0.15,100,300,16,68.75,1.1627296587926694,0.2046204620462302,0.012788778877889387,1.1627296587926697,3.875000000000485
futures,6E,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,6,0.75,,,200,500,34,85.29411764705883,2.2659176029962382,1.3439363817097352,0.039527540638521624,2.2659176029962373,19.882352941176382
futures,6J,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-07,3.0,3.0,6,1.5,-0.1,0.25,200,200,13,100.0,inf,1.5073891625615674,0.11595301250473596,inf,23.53846153846139
futures,6J,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-07,3.0,2.5,24,0.75,,,100,300,23,73.91304347826086,1.3074935400516818,0.39273927392739694,0.017075620605538997,1.307493540051682,5.173913043478316
futures,CL,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,3.0,3.0,6,3.0,0.0,0.15,200,300,16,50.0,0.21859706362153378,-3.1617161716171576,-0.19760726072607235,0.21859706362153378,-59.87499999999992
futures,CL,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,3.0,2.5,6,0.75,,,500,300,34,79.41176470588235,2.076687116564416,3.475247524752472,0.10221316249271976,2.076687116564416,30.970588235294084
futures,ES,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.25,3.0,1.5,10,0.75,-0.05,0.15,500,500,20,85.0,1.6700767263427112,1.0417495029821076,0.052087475149105375,1.670076726342711,26.2
futures,ES,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.25,3.0,2.5,16,2.0,,,300,300,63,73.01587301587301,1.1508920471726642,1.6468646864686471,0.026140709309026147,1.150892047172664,7.920634920634921
futures,GC,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.1,3.0,2.5,6,2.0,-0.05,0.15,30,100,8,75.0,0.7864077669902911,-0.4271844660194175,-0.05339805825242719,0.7864077669902912,-5.5
futures,GC,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.1,3.0,3.0,24,0.75,,,300,110,18,33.33333333333333,0.8702064896755175,-1.557522123893789,-0.08652900688298829,0.8702064896755176,-9.777777777777677
futures,HG,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0005,3.0,2.0,6,0.75,-0.1,0.1,150,300,11,81.81818181818183,4.893333333333373,0.9636963696369614,0.08760876087608739,4.893333333333373,26.54545454545448
futures,HG,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0005,3.0,2.5,6,0.75,,,50,75,38,73.68421052631578,1.524358974358972,5.24358974358972,0.13798920377867682,1.524358974358972,10.763157894736798
futures,NG,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.001,3.0,3.0,6,1.0,-0.2,0.4,500,300,35,65.71428571428571,0.811617806731813,-1.1452145214521467,-0.03272041489863276,0.811617806731813,-9.914285714285725
futures,NG,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.001,3.0,2.0,6,0.75,,,500,300,33,78.78787878787878,0.8383045525902659,-0.6798679867986839,-0.020602060206020723,0.8383045525902659,-6.242424242424277
