market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,roll_count_90,roll_pf_90,roll_total_90,roll_count_180,roll_pf_180,roll_total_180,roll_count_365,roll_pf_365,roll_total_365
gold_spot,XAUUSD,momentum,short,4273,4274,4310,2024-01-04 15:00:00+00:00,2024-01-04 15:15:00+00:00,2024-01-05 01:15:00+00:00,2045.255,2048.255,-300.0,-311.0,-1.0,1032,300,11.0,sl,36,24,1.9036606480336278,11.747588424437156,24,1.9036606480336278,11.747588424437156,24,1.9036606480336278,11.747588424437156
gold_spot,XAUUSD,momentum,short,4362,4363,4365,2024-01-05 14:15:00+00:00,2024-01-05 14:30:00+00:00,2024-01-05 15:00:00+00:00,2046.94,2049.94,-300.0,-311.0,-1.0,1032,300,11.0,sl,2,25,1.7676848874597972,10.747588424437156,25,1.7676848874597972,10.747588424437156,25,1.7676848874597972,10.747588424437156
gold_spot,XAUUSD,momentum,short,4457,4458,4459,2024-01-08 15:00:00+00:00,2024-01-08 15:15:00+00:00,2024-01-08 15:30:00+00:00,2029.125,2032.125,-300.0,-311.0,-1.0,1032,300,11.0,sl,1,26,1.6498392282958108,9.747588424437156,26,1.6498392282958108,9.747588424437156,26,1.6498392282958108,9.747588424437156
gold_spot,XAUUSD,momentum,short,4489,4490,4518,2024-01-09 00:00:00+00:00,2024-01-09 00:15:00+00:00,2024-01-09 07:15:00+00:00,2033.09,2036.09,-300.0,-311.0,-1.0,1032,300,11.0,sl,28,27,1.5467242765273226,8.747588424437156,27,1.5467242765273226,8.747588424437156,27,1.5467242765273226,8.747588424437156
gold_spot,XAUUSD,momentum,short,4518,4519,4543,2024-01-09 07:15:00+00:00,2024-01-09 07:30:00+00:00,2024-01-09 13:30:00+00:00,2036.515,2039.515,-300.0,-311.0,-1.0,1032,300,11.0,sl,24,28,1.4557404955551272,7.747588424437156,28,1.4557404955551272,7.747588424437156,28,1.4557404955551272,7.747588424437156
gold_spot,XAUUSD,momentum,short,4611,4612,4613,2024-01-10 07:30:00+00:00,2024-01-10 07:45:00+00:00,2024-01-10 08:00:00+00:00,2031.04,2034.04,-300.0,-311.0,-1.0,1032,300,11.0,sl,1,29,1.3748660235798422,6.747588424437156,29,1.3748660235798422,6.747588424437156,29,1.3748660235798422,6.747588424437156
gold_spot,XAUUSD,momentum,long,4708,4709,4727,2024-01-11 08:45:00+00:00,2024-01-11 09:00:00+00:00,2024-01-11 13:30:00+00:00,2030.905,2037.535,663.0000000000109,652.0000000000109,2.0964630225080736,1032,300,11.0,signal,18,30,1.3025046539177454,5.747588424437156,30,1.3025046539177454,5.747588424437156,30,1.3025046539177454,5.747588424437156
gold_spot,XAUUSD,momentum,long,4731,4732,4733,2024-01-11 14:30:00+00:00,2024-01-11 14:45:00+00:00,2024-01-11 15:00:00+00:00,2029.675,2026.675,-300.0,-311.0,-1.0,1032,300,11.0,sl,1,31,1.4128448129971176,7.84405144694523,31,1.4128448129971176,7.84405144694523,31,1.4128448129971176,7.84405144694523
gold_spot,XAUUSD,momentum,short,4749,4750,4750,2024-01-11 19:00:00+00:00,2024-01-11 19:15:00+00:00,2024-01-11 19:15:00+00:00,2021.065,2024.065,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,32,1.342202572347262,6.84405144694523,32,1.342202572347262,6.84405144694523,32,1.342202572347262,6.84405144694523
futures,RTY,momentum,short,5153,5154,5164,2024-01-18 11:00:00+00:00,2024-01-18 11:15:00+00:00,2024-01-18 13:45:00+00:00,1932.7,1931.4,12.999999999999543,9.999999999999543,0.0330033003300315,500,300,3.0,signal,10,10,1.4332425068120043,0.5247524752475426,10,1.4332425068120043,0.5247524752475426,10,1.4332425068120043,0.5247524752475426
gold_spot,XAUUSD,momentum,short,5197,5198,5208,2024-01-18 18:30:00+00:00,2024-01-18 18:45:00+00:00,2024-01-18 21:15:00+00:00,2019.86,2022.86,-300.0,-311.0,-1.0,1032,300,11.0,sl,10,39,1.3429796355841368,8.231511254019269,39,1.3429796355841368,8.231511254019269,39,1.3429796355841368,8.231511254019269
