phase,trades,wins,losses,win_rate_pct,profit_factor_pips,avg_pnl_pips,gross_profit_pips,gross_loss_pips,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol,pip_size,exclude,reason
mean_reversion,69,55,14,79.71014492753623,0.6620758691950462,-4.023995652174195,543.9952999999755,821.6509999999948,0.0984293504911066,0.6890054534377462,61,1.1311475409836065,47,1.4680851063829787,forex,NZDUSD,0.0001,True,PF<1 avg<=0 
mean_reversion,44,26,18,59.09090909090909,0.48749374687342345,-9.313636363636569,389.79999999998773,799.5999999999966,0.06827990883080355,0.4779593618156249,40,1.1,34,1.2941176470588236,forex,USDCAD,0.0001,True,PF<1 avg<=0 
mean_reversion,50,35,15,70.0,0.8065902578796262,-2.7000000000003954,562.999999999974,697.9999999999936,0.07386092603136012,0.5170264822195209,47,1.0638297872340425,41,1.2195121951219512,futures,6C,5e-05,True,PF<1 avg<=0 
mean_reversion,45,34,11,75.55555555555556,0.7290589451913142,-11.644444444444405,1410.0000000000007,1933.9999999999986,0.06445644713676106,0.4511951299573274,41,1.0975609756097562,35,1.2857142857142858,futures,CL,0.01,True,PF<1 avg<=0 
mean_reversion,46,36,10,78.26086956521739,0.6287644787644767,-41.804347826087096,3256.99999999998,5179.999999999985,0.06579947253140227,0.46059630771981586,41,1.1219512195121952,32,1.4375,futures,GC,0.1,True,PF<1 avg<=0 
mean_reversion,44,37,7,84.0909090909091,0.47859671709043744,-36.818181818182076,1486.9999999999893,3107.0000000000005,0.06172099887487763,0.4320469921241434,37,1.1891891891891893,31,1.4193548387096775,futures,HG,0.0005,True,PF<1 avg<=0 
mean_reversion,39,32,7,82.05128205128204,0.7861328124999992,-11.230769230769269,1609.9999999999989,2048.0000000000005,0.056857355464775466,0.39800148825342824,34,1.1470588235294117,31,1.2580645161290323,futures,NG,0.001,True,PF<1 avg<=0 
mean_reversion,37,33,4,89.1891891891892,0.874023437500002,-10.459459459459287,2685.0000000000045,3071.999999999998,0.05139781212015975,0.35978468484111825,35,1.0571428571428572,32,1.15625,futures,RTY,0.1,True,PF<1 avg<=0 
momentum,92,71,21,77.17391304347827,0.839755154639149,-2.703260869565653,1303.2999999999556,1551.9999999999957,0.12796105533098623,0.8957273873169035,84,1.0952380952380953,62,1.4838709677419355,forex,GBPUSD,0.0001,True,PF<1 avg<=0 
momentum,96,76,20,79.16666666666666,0.9742093026527785,-0.2329291666670025,844.6645999999589,867.0257999999912,0.13577500478807253,0.9504250335165078,87,1.103448275862069,61,1.5737704918032787,forex,NZDUSD,0.0001,True,PF<1 avg<=0 
momentum,70,54,16,77.14285714285715,0.8687432674542233,-3.817880142857299,1768.8466899999921,2036.0983000000033,0.09811794594752442,0.6868256216326709,64,1.09375,51,1.3725490196078431,forex,USDJPY,0.01,True,PF<1 avg<=0 
momentum,98,80,18,81.63265306122449,0.7339825730394486,-5.295918367347285,1431.999999999959,1950.999999999993,0.13568317517090195,0.9497822261963137,86,1.1395348837209303,56,1.75,futures,6B,0.0001,True,PF<1 avg<=0 
momentum,79,63,16,79.74683544303798,0.8582507539853348,-4.164556962025773,1991.9999999999516,2320.9999999999877,0.11241551049448595,0.7869085734614016,72,1.0972222222222223,52,1.5192307692307692,futures,6E,5e-05,True,PF<1 avg<=0 
momentum,74,54,20,72.97297297297297,0.45333617868829146,-103.85135135135133,6373.0,14057.999999999996,0.10334744468205823,0.7234321127744076,70,1.0571428571428572,56,1.3214285714285714,futures,GC,0.1,True,PF<1 avg<=0 
momentum,84,62,22,73.80952380952381,0.7943999999999972,-9.178571428571548,2978.9999999999905,3750.0000000000014,0.11654189669624533,0.8157932768737173,72,1.1666666666666667,57,1.4736842105263157,futures,HG,0.0005,True,PF<1 avg<=0 
momentum,55,37,18,67.27272727272727,0.6632620491541643,-19.181818181818233,2077.9999999999964,3132.999999999999,0.07714335807375372,0.540003506516276,53,1.0377358490566038,43,1.2790697674418605,futures,NG,0.001,True,PF<1 avg<=0 
momentum,93,78,15,83.87096774193549,0.8471212242759979,-174.17741935484122,89757.9999999998,105956.50000000003,0.12890185094279694,0.9023129565995784,84,1.1071428571428572,60,1.55,gold_spot,XAUUSD,0.01,True,PF<1 avg<=0 
