phase,trades,wins,losses,win_rate_pct,profit_factor_pips,avg_pnl_pips,gross_profit_pips,gross_loss_pips,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol,pip_size,exclude,reason
mean_reversion,55,43,12,78.18181818181819,1.4320916905443755,2.803509090908799,511.04549999997806,356.85249999999394,0.07722007722007722,0.5405405405405406,50,1.1,39,1.4102564102564104,forex,AUDUSD,0.0001,False,
mean_reversion,55,45,10,81.81818181818183,1.647295313382182,5.210727272726585,729.339999999964,442.75000000000176,0.0763149146515964,0.5342044025611749,49,1.1224489795918366,43,1.2790697674418605,forex,EURUSD,0.0001,False,
mean_reversion,55,44,11,80.0,1.0820227437696304,1.232727272726835,894.3999999999687,826.5999999999929,0.07626971745536489,0.5338880221875542,50,1.1,43,1.2790697674418605,forex,GBPUSD,0.0001,False,
mean_reversion,69,55,14,79.71014492753623,0.6620758691950462,-4.023995652174195,543.9952999999755,821.6509999999948,0.0984293504911066,0.6890054534377462,61,1.1311475409836065,47,1.4680851063829787,forex,NZDUSD,0.0001,True,PF<1 avg<=0 
mean_reversion,44,26,18,59.09090909090909,0.48749374687342345,-9.313636363636569,389.79999999998773,799.5999999999966,0.06827990883080355,0.4779593618156249,40,1.1,34,1.2941176470588236,forex,USDCAD,0.0001,True,PF<1 avg<=0 
mean_reversion,53,44,9,83.01886792452831,1.319605325306595,2.7679075471695467,605.699899999982,459.000799999996,0.07636658361600576,0.5345660853120403,51,1.0392156862745099,40,1.325,forex,USDCHF,0.0001,False,
mean_reversion,49,40,9,81.63265306122449,1.1281005030034146,2.3231734693879655,1002.4776000000088,888.6420999999984,0.06928345238971942,0.48498416672803596,44,1.1136363636363635,34,1.4411764705882353,forex,USDJPY,0.01,False,
mean_reversion,59,46,13,77.96610169491525,1.1422637590861626,2.3220338983046283,1099.999999999961,962.999999999988,0.08283608283608283,0.5798525798525799,56,1.0535714285714286,47,1.2553191489361701,futures,6A,5e-05,False,
mean_reversion,54,47,7,87.03703703703704,1.764900662251632,8.555555555555243,1065.99999999998,603.9999999999968,0.0748829953198128,0.5241809672386896,49,1.1020408163265305,41,1.3170731707317074,futures,6B,0.0001,False,
mean_reversion,50,35,15,70.0,0.8065902578796262,-2.7000000000003954,562.999999999974,697.9999999999936,0.07386092603136012,0.5170264822195209,47,1.0638297872340425,41,1.2195121951219512,futures,6C,5e-05,True,PF<1 avg<=0 
mean_reversion,53,43,10,81.13207547169812,1.2127838519764194,4.773584905659652,1441.9999999999575,1188.9999999999957,0.07681623286430339,0.5377136300501238,49,1.0816326530612246,43,1.2325581395348837,futures,6E,5e-05,False,
mean_reversion,57,46,11,80.7017543859649,1.3680412371136874,6.263157894740416,1327.0000000000052,969.9999999998015,0.08059503645334708,0.5641652551734295,50,1.14,37,1.5405405405405406,futures,6J,5e-07,False,
mean_reversion,45,34,11,75.55555555555556,0.7290589451913142,-11.644444444444405,1410.0000000000007,1933.9999999999986,0.06445644713676106,0.4511951299573274,41,1.0975609756097562,35,1.2857142857142858,futures,CL,0.01,True,PF<1 avg<=0 
mean_reversion,35,27,8,77.14285714285715,1.542353610005685,27.257142857142856,2713.0,1759.0,0.058602947588732884,0.41022063312113016,35,1.0,30,1.1666666666666667,futures,ES,0.25,False,
mean_reversion,46,36,10,78.26086956521739,0.6287644787644767,-41.804347826087096,3256.99999999998,5179.999999999985,0.06579947253140227,0.46059630771981586,41,1.1219512195121952,32,1.4375,futures,GC,0.1,True,PF<1 avg<=0 
mean_reversion,44,37,7,84.0909090909091,0.47859671709043744,-36.818181818182076,1486.9999999999893,3107.0000000000005,0.06172099887487763,0.4320469921241434,37,1.1891891891891893,31,1.4193548387096775,futures,HG,0.0005,True,PF<1 avg<=0 
mean_reversion,39,32,7,82.05128205128204,0.7861328124999992,-11.230769230769269,1609.9999999999989,2048.0000000000005,0.056857355464775466,0.39800148825342824,34,1.1470588235294117,31,1.2580645161290323,futures,NG,0.001,True,PF<1 avg<=0 
mean_reversion,29,25,4,86.20689655172413,1.1827891364052487,41.310344827586206,7752.0,6554.0,0.04171849010234817,0.29202943071643717,28,1.0357142857142858,22,1.3181818181818181,futures,NQ,0.25,False,
mean_reversion,37,33,4,89.1891891891892,0.874023437500002,-10.459459459459287,2685.0000000000045,3071.999999999998,0.05139781212015975,0.35978468484111825,35,1.0571428571428572,32,1.15625,futures,RTY,0.1,True,PF<1 avg<=0 
mean_reversion,41,35,6,85.36585365853658,1.8547579298831307,12.487804878048701,1110.9999999999982,599.0000000000016,0.05849308961212662,0.4094516272848863,41,1.0,36,1.1388888888888888,futures,SI,0.005,False,
mean_reversion,37,32,5,86.48648648648648,1.497175141242938,38.054054054054056,4240.0,2832.0,0.05435514476342045,0.38048601334394316,32,1.15625,24,1.5416666666666667,futures,YM,1.0,False,
mean_reversion,39,29,10,74.35897435897436,1.3404255319148937,1.641025641025641,252.0,188.0,0.056183316076171615,0.3932832125332013,36,1.0833333333333333,30,1.3,futures,ZB,0.03125,False,
mean_reversion,37,35,2,94.5945945945946,31.88888888888889,7.513513513513513,287.0,9.0,0.05639527499047377,0.3947669249333164,35,1.0571428571428572,27,1.3703703703703705,futures,ZN,0.015625,False,
mean_reversion,53,48,5,90.56603773584906,1.416996546786824,233.53773584905466,42059.999999999876,29682.49999999998,0.0757864632983794,0.5305052430886559,51,1.0392156862745099,40,1.325,gold_spot,XAUUSD,0.01,False,
momentum,109,92,17,84.40366972477065,1.2943007214156674,2.4857559633023896,1191.5954999999492,920.648099999989,0.15732499398604763,1.1012749579023333,100,1.09,67,1.626865671641791,forex,AUDUSD,0.0001,False,
