market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
forex,GBPUSD,momentum,long,17052,17053,17058,2024-07-09 07:45:00+00:00,2024-07-09 08:00:00+00:00,2024-07-09 09:15:00+00:00,1.27985,1.2809,10.499999999999954,8.499999999999954,0.1103896103896097,20,75,2.0,signal,5,72,2.0855106888361035,5.935064935064885
futures,NQ,momentum,long,16612,16613,16683,2024-07-12 19:30:00+00:00,2024-07-12 19:45:00+00:00,2024-07-15 14:15:00+00:00,20574.25,20670.75,386.0,383.0,1.1364985163204748,500,334,3.0,signal,70,45,1.5085536547433904,7.762611275964393
futures,NQ,momentum,long,16690,16691,16698,2024-07-15 16:00:00+00:00,2024-07-15 16:15:00+00:00,2024-07-15 18:00:00+00:00,20635.75,20552.25,-334.0,-337.0,-1.0,500,334,3.0,sl,7,44,1.8217002237136466,10.899109792284868
forex,GBPUSD,momentum,long,17544,17545,17567,2024-07-16 12:45:00+00:00,2024-07-16 13:00:00+00:00,2024-07-16 18:30:00+00:00,1.2948,1.2968,20.0,18.0,0.2337662337662337,20,75,2.0,tp,22,69,1.9892729439809222,5.389610389610321
futures,NQ,momentum,long,16773,16774,16774,2024-07-16 13:45:00+00:00,2024-07-16 14:00:00+00:00,2024-07-16 14:00:00+00:00,20580.75,20497.25,-334.0,-337.0,-1.0,500,334,3.0,sl,0,45,1.693987934262534,9.899109792284868
futures,NQ,momentum,short,16793,16794,16835,2024-07-16 18:45:00+00:00,2024-07-16 19:00:00+00:00,2024-07-17 06:15:00+00:00,20590.0,20465.0,500.0,497.0,1.4747774480712166,500,334,3.0,tp,41,46,1.5830093312597202,8.899109792284868
forex,GBPUSD,momentum,long,17711,17712,17717,2024-07-18 06:30:00+00:00,2024-07-18 06:45:00+00:00,2024-07-18 08:00:00+00:00,1.2989,1.3001,12.0000000000009,10.0000000000009,0.1298701298701415,20,75,2.0,signal,5,69,1.9892729439809222,5.389610389610321
futures,NQ,momentum,short,17153,17154,17235,2024-07-22 16:45:00+00:00,2024-07-22 17:00:00+00:00,2024-07-23 14:15:00+00:00,19961.5,20045.0,-334.0,-337.0,-1.0,500,334,3.0,sl,81,47,1.6796267496111976,10.373887240356085
forex,GBPUSD,momentum,short,17937,17938,18005,2024-07-22 17:00:00+00:00,2024-07-22 17:15:00+00:00,2024-07-23 10:00:00+00:00,1.2925,1.29115,13.499999999999623,11.499999999999623,0.1493506493506444,20,75,2.0,signal,67,68,1.9272943980929622,5.051948051947995
futures,NQ,momentum,long,17243,17244,17262,2024-07-23 16:15:00+00:00,2024-07-23 16:30:00+00:00,2024-07-23 22:00:00+00:00,19964.5,19881.0,-334.0,-337.0,-1.0,500,334,3.0,sl,18,48,1.5763546798029557,9.373887240356085
