daily_profit_lock,daily_loss_stop,selected_variants,basket_trades,basket_wins,basket_losses,basket_win_rate_pct,basket_profit_factor,basket_total,basket_avg,challenge_7d_starts,challenge_7d_pass_rate_pct,challenge_7d_fail_rate_pct,challenge_7d_incomplete_rate_pct,challenge_7d_median_pass_days,challenge_7d_avg_pass_win_rate_pct,challenge_7d_p50_final_pnl,challenge_14d_starts,challenge_14d_pass_rate_pct,challenge_14d_fail_rate_pct,challenge_14d_incomplete_rate_pct,challenge_14d_median_pass_days,challenge_14d_avg_pass_win_rate_pct,challenge_14d_p50_final_pnl,challenge_30d_starts,challenge_30d_pass_rate_pct,challenge_30d_fail_rate_pct,challenge_30d_incomplete_rate_pct,challenge_30d_median_pass_days,challenge_30d_avg_pass_win_rate_pct,challenge_30d_p50_final_pnl,challenge_eventual_starts,challenge_eventual_pass_rate_pct,challenge_eventual_fail_rate_pct,challenge_eventual_incomplete_rate_pct,challenge_eventual_median_pass_days,challenge_eventual_avg_pass_win_rate_pct,challenge_eventual_p50_final_pnl
1500.0,800.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
1500.0,1000.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
1500.0,1200.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2000.0,800.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2000.0,1000.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2000.0,1200.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2500.0,800.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2500.0,1000.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2500.0,1200.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2900.0,800.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2900.0,1000.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
2900.0,1200.0,1,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,15,0.0,0.0,100.0,0.0,0.0,120.0,15,0.0,0.0,100.0,0.0,0.0,237.0,15,0.0,0.0,100.0,0.0,0.0,117.0,15,0.0,0.0,100.0,0.0,0.0,1230.5
