market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,key,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key
futures,CL,momentum,long,282941,282942,282947,2022-06-06 12:15:00+00:00,2022-06-06 12:30:00+00:00,2022-06-06 13:45:00+00:00,118.34,119.46,111.99999999999903,108.99999999999903,0.216699801192841,500.0,500.0,3.0,signal,5,CL:momentum,2.0,1.0,217.99999999999807,1006.0,1000.0,2022-06-06
futures,NQ,momentum,short,280552,280553,280573,2022-06-07 14:15:00+00:00,2022-06-07 14:30:00+00:00,2022-06-07 19:30:00+00:00,12591.25,12716.25,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,20,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-06-07
futures,CL,momentum,long,283312,283313,283497,2022-06-10 13:00:00+00:00,2022-06-10 13:15:00+00:00,2022-06-14 13:15:00+00:00,121.42,122.71,128.9999999999992,125.9999999999992,0.2504970178926425,500.0,500.0,3.0,signal,184,CL:momentum,2.0,1.0,251.9999999999984,1006.0,1000.0,2022-06-10
futures,CL,momentum,long,283764,283765,283778,2022-06-17 11:00:00+00:00,2022-06-17 11:15:00+00:00,2022-06-17 14:30:00+00:00,117.34,112.34,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,13,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-06-17
futures,CL,momentum,short,283927,283928,283958,2022-06-21 08:15:00+00:00,2022-06-21 08:30:00+00:00,2022-06-21 16:00:00+00:00,110.5,109.32,118.00000000000068,115.00000000000068,0.2286282306163035,500.0,500.0,3.0,signal,30,CL:momentum,2.0,1.0,230.00000000000136,1006.0,1000.0,2022-06-21
futures,CL,momentum,short,284205,284206,284329,2022-06-24 08:45:00+00:00,2022-06-24 09:00:00+00:00,2022-06-27 16:45:00+00:00,105.22,110.22,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,123,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-06-24
futures,NQ,momentum,long,282335,282336,282351,2022-07-05 08:00:00+00:00,2022-07-05 08:15:00+00:00,2022-07-05 12:00:00+00:00,11603.25,11478.25,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,15,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-07-05
futures,CL,momentum,short,284853,284854,284857,2022-07-05 12:15:00+00:00,2022-07-05 12:30:00+00:00,2022-07-05 13:15:00+00:00,108.86,105.32,354.0000000000006,351.0000000000006,0.697813121272367,500.0,500.0,3.0,signal,3,CL:momentum,2.0,1.0,702.0000000000013,1006.0,1000.0,2022-07-05
futures,NQ,momentum,short,282361,282362,282362,2022-07-05 14:30:00+00:00,2022-07-05 14:45:00+00:00,2022-07-05 14:45:00+00:00,11554.25,11516.75,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-07-05
futures,6B,mean_reversion,long,283967,283968,283982,2022-07-08 10:00:00+00:00,2022-07-08 10:15:00+00:00,2022-07-08 13:45:00+00:00,1.1992,1.2016,23.999999999999577,20.999999999999577,0.1034482758620668,500.0,200.0,3.0,signal,14,6B:mean_reversion,9.0,0.625,118.12499999999761,1141.875,2812.5,2022-07-08
futures,6B,mean_reversion,long,284357,284358,284460,2022-07-14 15:30:00+00:00,2022-07-14 15:45:00+00:00,2022-07-15 18:15:00+00:00,1.1852,1.1872,20.000000000000018,17.000000000000018,0.0837438423645321,500.0,200.0,3.0,signal,102,6B:mean_reversion,9.0,0.625,95.6250000000001,1141.875,2812.5,2022-07-14
futures,CL,momentum,short,285867,285868,285932,2022-07-20 14:45:00+00:00,2022-07-20 15:00:00+00:00,2022-07-21 08:00:00+00:00,99.97,97.61,235.99999999999997,232.99999999999997,0.4632206759443338,500.0,500.0,3.0,signal,64,CL:momentum,2.0,1.0,465.99999999999994,1006.0,1000.0,2022-07-20
futures,6B,mean_reversion,long,284796,284797,284842,2022-07-21 10:15:00+00:00,2022-07-21 10:30:00+00:00,2022-07-21 22:45:00+00:00,1.1984,1.2008,24.0000000000018,21.0000000000018,0.1034482758620778,500.0,200.0,3.0,signal,45,6B:mean_reversion,9.0,0.625,118.12500000001013,1141.875,2812.5,2022-07-21
futures,6B,mean_reversion,long,284883,284884,284904,2022-07-22 09:00:00+00:00,2022-07-22 09:15:00+00:00,2022-07-22 14:15:00+00:00,1.1984,1.2064,80.00000000000007,77.00000000000007,0.3793103448275866,500.0,200.0,3.0,signal,20,6B:mean_reversion,9.0,0.625,433.1250000000004,1141.875,2812.5,2022-07-22
futures,NQ,momentum,long,283560,283561,283569,2022-07-22 15:15:00+00:00,2022-07-22 15:30:00+00:00,2022-07-22 17:30:00+00:00,12487.25,12362.25,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,8,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-07-22
futures,6B,mean_reversion,long,285084,285085,285102,2022-07-26 13:15:00+00:00,2022-07-26 13:30:00+00:00,2022-07-26 17:45:00+00:00,1.2031,1.2046,14.999999999998348,11.999999999998348,0.0591133004926027,500.0,200.0,3.0,signal,17,6B:mean_reversion,9.0,0.625,67.4999999999907,1141.875,2812.5,2022-07-26
