basket,selected_variants,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor_r,train_total_r,train_avg_r,train_max_drawdown_r,train_trades_per_week,test_trades,test_wins,test_losses,test_win_rate_pct,test_profit_factor_r,test_total_r,test_avg_r,test_max_drawdown_r,test_trades_per_week
train_pf_ge_1.2,1,97,50,47,51.546391752577314,1.9339875109584632,43.89741301504779,0.4525506496396679,5.0,1.2434236880758447,53,23,30,43.39622641509434,1.4608816092476653,13.826448277429956,0.26087638259301804,11.0,2.4152990641529906
train_pf_ge_1.5,1,97,50,47,51.546391752577314,1.9339875109584632,43.89741301504779,0.4525506496396679,5.0,1.2434236880758447,53,23,30,43.39622641509434,1.4608816092476653,13.826448277429956,0.26087638259301804,11.0,2.4152990641529906
train_pf_ge_2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
train_pf_ge_2.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
train_pf_ge_3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
