phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week
momentum,9475,69.32981530343008,1.0432211421193944,1958,1853,105,94.63738508682329,94.62446647029272,93.6259837689935,42.25032293539053,2.4768227410630796,2.6806617227609815,18.76463205932687,486,4.02880658436214,105,18.64761904761905
mean_reversion,7093,70.49203440011279,1.052727797383158,1079,1077,2,99.81464318813717,99.78749262444454,99.51297623174203,11195.748204014651,4.778106312020821,1.4780400102736793,10.346280071915755,379,2.846965699208443,105,10.276190476190477
